RAh,RAm,RAs,DE-,DEd,DEm,ESO,ID,GLON,GLAT,X,Y,MajAxis,u_MajAxis,MinAxis,u_MinAxis,PA,u_PA,MType,Class,Desc,FlagN,FlagM,FlagRC,FlagV,FlagA,Bmag,e_Bmag,apBmag,r_Bmag,B-V,U-B,r_B-V,RV,e_RV,r_RV
1,6,7,-,58,43.3,113- G  14,--,298.74,-58.54,-63.9,64.1,19,:,14,:,41,:,5,S(r)...,eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,8,-,58,37.5,113- G  15,--,298.72,-58.63,-64.0,69.3,18,:,15,:,4,:,1,Sa(r),eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,10,-,47,21.9,243- G  38,--,294.58,-69.75,92.8,-118.8,10,--,5,--,115,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,19,-,62,2.6,113- G  16,--,299.44,-55.24,-57.1,-112.8,10,--,4,--,83,--,3,Sb,"N O.6 sp, in cl",--,--,--,--,--,14.5,0.3,--,80,--,--,--,--,--,--
1,6,21,-,46,56.1,243- *  39,N 405,294.25,-70.17,95.1,-95.9,--,--,--,--,--,--,--,2 stars,Pos on SAO 215379,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,21,-,72,2.1,51-SC  19,N 411,301.1,-45.3,57.2,-107.1,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,21,-,80,34.4,13- G  12,--,302.11,-36.8,-53.1,-30.5,34,:,8,:,157,--,-2,SO,"Abs lane, in cl",--,--,--,--,--,13.3,0.7,--,80,--,--,--,5047,21,ES
1,6,22,-,40,36.4,296- G   1,--,288.94,-76.32,-112.1,-37.6,--,:,--,--,--,:,--,Cluster of galaxies,v distant,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,24,-,28,50.9,412- G   7,I 1628,234.7,-85.9,-33.2,68.7,10,:,8,:,--,:,-3,E-SO,S comp 1.2 sf,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,26,-,72,37.3,29-SC  32,N 416,301.17,-44.72,1.5,132.2,--,--,--,--,--,--,--,Globular,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,27,-,36,36.6,352- G   8,--,282.24,-80.08,-57.6,-84.5,17,:,10,:,42,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,28,-,35,0.9,352- G   9,--,277.99,-81.52,-58.6,0.5,15,:,14,:,--,:,1,Sa,vF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,30,-,77,43.8,13- G  13,--,301.79,-39.63,-67.8,120.4,10,--,1,--,175,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,32,-,46,44.5,243- G  40,I 1631,294.04,-70.35,97.2,-85.7,10,--,7,--,82,:,5,S...,"Knot n, in cl",--,--,--,--,--,14.6,0.3,--,80,--,--,--,--,--,--
1,6,38,-,46,5.9,243- G  41,--,293.59,-70.98,99.3,-51.4,12,:,3,--,93,--,-2,SO/N,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,40,-,47,24.7,243- G  42,--,294.37,-69.69,97.2,-121.4,13,:,8,:,113,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,41,-,45,34.2,243- G  43,--,293.22,-71.49,100.6,-23.3,10,--,6,--,175,--,1,SBa,"P w G 44, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,44,-,37,33.4,296- G   2,--,283.95,-79.18,-113.3,125.1,15,:,12,:,165,:,1,Sa,eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,46,-,35,53.5,352- G  10,--,280.14,-80.71,-54.8,-46.2,11,--,11,--,--,:,5,S...,"F, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,46,-,45,36.8,243- G  44,--,293.2,-71.45,101.3,-25.6,10,--,6,--,9,--,1,Sa:,"P w G 43, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,47,-,72,16.1,51-SC  20,Li-84,301.09,-45.07,58.0,-120.0,--,--,--,--,--,--,--,OC + em neb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,47,-,73,9.0,29-SC  33,N 419,301.21,-44.19,2.8,104.0,--,--,--,--,--,--,--,Globular,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,6,51,-,46,2.4,243- G  45,--,293.44,-71.03,101.3,-48.3,13,:,13,:,--,:,-2,SO,In cluster,--,--,--,--,--,14.1,0.5,--,80,--,--,--,--,--,--
1,6,55,-,32,39.0,352- G  11,--,267.65,-83.47,-55.0,126.6,11,--,1,--,42,--,3,Sb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,1,-,61,8.2,113-IG  17,--,299.1,-56.13,-54.0,-64.4,4,--,4,--,--,:,--,S?...,"Pec, asym, B centre",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,3,-,39,2.2,296- G   3,--,286.24,-77.77,-107.7,46.3,10,--,5,--,53,:,5,S...,Disturbed,*,--,--,--,--,15.7,0.5,--,80,--,--,--,--,--,--
1,7,13,-,36,4.3,352- G  12,N 409,280.09,-80.51,-49.7,-55.7,15,:,13,:,--,:,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,20,-,48,3.4,195- G  32,--,294.41,-69.04,67.6,101.7,11,:,8,:,114,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,41,-,74,46.8,29- G  34,--,301.34,-42.56,5.5,17.2,14,--,12,--,--,:,3,Sb,L in group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,42,-,46,11.8,243- G  46,I 1633,293.1,-70.84,108.9,-57.0,28,:,27,:,120,:,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,7244,40,ES
1,7,42,-,61,35.9,113- G  18,--,299.06,-55.66,-49.1,-88.9,14,:,2,--,5,--,0,SO-a,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,43,-,35,8.2,352- G  13,--,276.85,-81.29,-44.9,-5.8,12,--,7,--,84,--,5,S...,Incl S comp 0.4 p,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,43,-,47,15.5,243- G  47,--,293.77,-69.81,107.0,-113.5,12,:,8,:,157,--,1,Sa,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,44,-,73,27.5,29-EN  35,I 1644,301.15,-43.87,6.3,87.6,--,--,--,--,--,--,--,Em nebula,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,46,-,35,45.4,352- G  14,N 415,278.64,-80.74,-44.0,-38.9,17,--,10,--,55,--,3,Sb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,7,52,-,72,2.0,51-SC  22,N 422,300.93,-45.29,63.4,-107.3,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,0,-,36,0.1,352- G  15,--,279.05,-80.5,-41.4,-51.9,20,--,16,--,129,--,4,Sb-c,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,3,-,31,7.9,412- G   8,MCG-5-4-1,256.09,-84.42,-14.0,-53.0,14,:,2,--,165,--,6,Sc,--,--,1,2,--,--,--,--,--,--,--,--,--,--,--,--
1,8,6,-,72,2.1,51-SC  21,I 1641,300.91,-45.29,64.4,-107.4,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,11,-,57,1.8,151- G  24,--,297.75,-60.17,16.6,-104.8,15,--,5,--,166,--,3,Sb:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,12,-,46,50.3,243- G  48,--,293.27,-70.2,112.3,-91.3,11,--,1,--,20,--,6,Sc,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,14,-,30,29.2,412- G   9,N 418,250.42,-84.78,-11.9,-18.6,25,:,25,:,--,:,6,Sc,--,--,1,2,--,--,12.9,0.15,--,90,--,--,--,5684,25,2
1,8,14,-,46,20.4,243- G  49,--,292.92,-70.68,113.6,-64.8,10,--,2,--,62,--,0,SO-a,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,15,-,56,23.2,151- G  25,--,297.54,-60.81,17.3,-70.4,14,:,2,--,126,--,8,Sc/Irr,In G 30 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,24,-,61,46.7,113-IG  19,--,298.95,-55.47,-44.4,-98.4,7,--,4,--,--,:,--,...,"Distorted, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,26,-,52,49.3,151- G  26,--,296.21,-64.32,20.5,119.6,13,:,5,:,127,--,-2,SO,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,33,-,42,38.4,243- G  50,--,289.65,-74.25,124.0,132.3,14,:,6,:,44,--,--,Dwarf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,33,-,48,58.2,195-IG  33,--,294.37,-68.1,77.1,52.7,7,:,3,:,--,:,--,Double system,"Bridge, in group",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,37,-,33,48.9,352- G  16,--,270.89,-82.32,-35.6,64.7,17,:,14,:,90,:,-2,SO(r),eF ring,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,39,-,18,24.9,541- G  24,N 417,150.72,-79.94,74.5,77.1,8,--,6,--,--,:,-3,E - SO,"S comp 0.5 n, B in cl",--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,39,-,30,42.2,412- G  10,I 1637,251.74,-84.58,-7.0,-30.1,22,:,18,:,90,:,6,Sc,--,--,1,2,--,--,13.21,0.15,--,90,--,--,--,6002,50,2
1,8,48,-,62,23.5,113-IG  20,--,299.02,-54.86,-41.2,-131.0,8,:,2,:,19,:,--,Double system,"Bridge, in group",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,8,57,-,56,8.1,151- G  27,--,297.26,-61.04,22.6,-57.1,12,:,11,:,46,:,-2,SO,In G 30 group,--,--,--,--,--,14.4,0.5,--,80,--,--,--,--,--,--
1,9,0,-,29,30.0,412- G  11,N 423,239.71,-85.13,-2.9,34.1,10,--,4,--,114,--,5,S...?,B,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,6,-,46,11.9,243- G  51,--,292.39,-70.79,121.8,-57.6,10,--,6,--,51,--,1,Sa,"P w G 52, in cl",--,--,--,--,--,13.8,0.3,--,80,--,--,--,--,--,--
1,9,10,-,38,20.9,296- G   4,N 424,283.19,-78.27,-86.6,83.6,22,:,11,:,60,--,1,S(r:)a,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,12,-,54,33.3,151- G  28,--,296.63,-62.6,25.5,27.1,10,:,8,:,--,:,5,S...,eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,12,-,59,6.2,113- G  21,--,298.09,-58.1,-42.1,44.3,17,:,3,--,65,--,6,Sc?,S comp 2.0 nf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,14,-,46,12.2,243- G  52,--,292.32,-70.78,123.1,-57.9,12,--,2,--,106,--,1,Sa,"P w G 51, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,21,-,29,33.8,412- G  12,--,240.0,-85.03,1.2,30.7,11,:,5,:,68,--,--,Dwarf spiral,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,27,-,27,57.0,412- G  13,MCG-5-4-5,221.12,-85.44,2.5,116.6,11,--,10,--,--,:,4,Sb-c,--,--,1,2,--,--,--,--,--,--,--,--,--,--,--,--
1,9,36,-,47,28.8,243- G  53,--,293.02,-69.52,123.5,-126.0,12,:,7,--,106,:,5,S...,"asym, in cl",--,--,--,--,--,--,--,--,--,--,--,--,11800,160,2C
1,9,40,-,33,50.0,352- G  17,--,269.63,-82.18,-23.8,63.8,14,:,2,--,176,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,40,-,52,49.8,151- G  29,--,295.8,-64.28,30.4,119.0,10,--,8,--,173,--,3,SBb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,47,-,56,7.3,151- G  30,I 1649,297.02,-61.04,28.9,-56.4,20,:,3,--,136,--,3,Sb,L in group,--,--,--,--,--,14.4,0.5,--,80,--,--,--,--,--,--
1,9,48,-,32,30.4,352- G  18,MCG-5-4-6,262.84,-83.19,-22.6,134.5,15,--,15,--,--,:,1,Sa,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,50,-,61,47.5,113- G  22,N 432,298.66,-55.43,-35.3,-98.9,13,:,13,:,--,:,-2,SO,In cluster,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,56,-,36,29.9,352- G  19,--,278.34,-79.88,-20.4,-78.3,14,--,12,--,--,:,5,S...,F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,9,59,-,32,19.6,412- G  14,N 427,261.56,-83.3,7.9,-116.6,13,--,8,--,0,--,0,SBO-a,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,6,-,17,43.6,541- G  25,MCG-3-4-27,150.78,-79.17,93.2,113.6,20,:,12,:,165,--,4,Sb-c,"eF env, in cl",--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,7,-,46,9.3,244- G   1,--,291.83,-70.79,-132.9,-58.5,10,--,2,--,117,--,2,Sa-b,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,10,-,56,22.3,151- G  31,--,296.99,-60.78,31.5,-69.8,14,--,3,--,93,--,1,Sa:,In G 30 group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,11,-,50,40.0,195- G  34,I 1650,294.6,-66.39,88.0,-38.2,15,:,8,:,62,--,4,Sb-c,L in group,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,11,-,54,43.4,151- G  32,--,296.39,-62.4,33.1,18.0,14,:,5,--,58,--,3,Sb:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,13,-,58,30.7,113- G  23,N 434,297.67,-58.67,-35.6,76.0,24,--,13,--,6,--,1,Sa,L of 3,--,--,2,--,--,12.96,--,--,3,--,--,--,4906,70,3
1,10,18,-,41,12.6,296- G   5,--,286.79,-75.51,-71.6,-68.7,11,:,10,:,--,:,5,S...?,eF env,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,19,-,33,56.0,352- G  20,--,269.28,-82.02,-16.8,58.5,17,:,9,:,178,--,-2,SO,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,20,-,38,9.7,296- G   6,--,281.79,-78.35,-74.6,93.8,17,:,6,:,22,--,2,Sa-b,--,--,--,--,--,--,14.7,0.5,--,80,--,--,--,--,--,--
1,10,21,-,71,35.9,51-SC  23,I 1655,300.59,-45.7,75.4,-84.9,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,26,-,46,20.2,244- G   2,--,291.81,-70.6,-129.6,-68.1,12,:,6,:,80,--,0,S(r)O-a,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,8100,90,2C
1,10,29,-,31,27.9,412- G  15,MCG-5-4-9,255.3,-83.81,13.8,-70.8,20,:,2,--,5,--,4,Sb-c,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,29,-,58,28.4,113- G  24,--,297.59,-58.7,-33.8,78.1,15,:,4,--,51,--,5,S...,Open arms,*,--,--,--,--,--,--,--,--,--,--,--,4714,51,6
1,10,33,-,19,16.3,541-IG  26,"MCG-3-4-30,31=vv258",155.42,-80.49,98.0,31.2,15,:,7,:,65,:,--,Double system,"Interaction, in cl",--,1,--,V,--,--,--,--,--,--,--,--,--,--,--
1,10,36,-,31,42.9,412- G  16,MCG-5-4-10,256.87,-83.62,15.2,-84.1,11,:,11,:,--,:,1,Sa,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,47,-,34,16.8,352- G  21,--,270.15,-81.68,-11.4,40.0,13,--,4,--,73,--,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,48,-,58,32.8,113- G  25,N 440,297.54,-58.62,-31.6,74.2,10,--,6,--,45,--,--,s....,pec arm,*,--,2,--,--,--,--,--,--,--,--,--,5014,20,2
1,10,50,-,75,27.7,29-SC  36,--,301.16,-41.86,15.7,-19.4,20,:,--,--,--,--,--,OC,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,10,51,-,52,46.3,151- G  33,--,295.36,-64.3,40.1,122.0,10,:,9,:,--,:,6,Sc,"F, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,7,-,72,1.6,51-SC  24,I 1660,300.58,-45.27,76.8,-108.0,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,9,-,73,43.3,29-SC  37,I 1662,300.86,-43.59,18.9,73.4,--,--,--,--,--,--,--,OC,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,16,-,38,10.0,296- G   7,N 438,280.97,-78.27,-64.7,93.8,14,--,12,--,--,:,3,Sb,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,23,-,61,2.0,113- G  26,--,298.14,-56.15,-26.0,-58.4,11,:,7,:,0,:,7,S.../Irr,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,24,-,34,10.7,352-IG  22,--,269.04,-81.69,-4.8,45.4,5,:,4,:,--,:,--,Double system,Contact,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,24,-,52,34.0,151- G  34,--,295.08,-64.49,44.7,132.8,13,--,10,--,140,--,--,Sa/Sc,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,25,-,31,19.6,412- G  17,MCG-5-4-14,253.16,-83.74,24.4,-63.5,12,--,12,--,--,:,1,Sa,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,27,-,32,0.7,412- G  18,N 439,257.78,-83.29,24.6,-100.0,26,:,16,:,156,--,-3,E-SO,In cluster,--,1,2,--,--,12.7,0.3,--,10,--,--,--,5644,155,3
1,11,31,-,32,3.1,412- G  19,N 441,257.95,-83.25,25.3,-102.1,16,:,12,:,135,--,0,SBO-a,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,33,-,32,28.9,412- G  20,MCG-5-4-17,260.5,-82.95,25.6,-125.0,11,--,6,--,30,--,-2,SO,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,45,-,32,30.7,352- G  23,MCG-5-4-17,260.44,-82.9,-0.7,134.3,11,--,8,--,--,:,5,S...,"F, in cluster",--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,47,-,32,54.9,352- G  24,I 1657,262.64,-82.61,-0.5,112.8,28,--,7,--,170,--,3,Sb,"2 S comps 2' p, 2' nf",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,48,-,33,25.2,352- G  25,--,265.18,-82.23,-0.3,85.9,14,--,10,--,133,--,3,Sb?,F,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,54,-,46,31.1,244- G   3,--,291.22,-70.35,-115.8,-77.3,2,--,2,--,--,:,--,Compact,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,11,55,-,32,30.8,352- G  26,MCG-5-4-19,260.25,-82.88,1.1,134.1,12,--,8,--,64,--,3,SBb,In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,1,-,58,11.9,113- G  27,--,297.12,-58.94,-23.2,92.8,19,--,2,--,82,--,6,Sc,Compact E 3.0 nf,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,3,-,25,38.9,475- G  13,MCG-4-4-1,195.53,-84.56,71.8,-26.1,11,--,7,--,167,--,5,S...,F,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,5,-,62,39.9,80- G   1,--,298.44,-54.53,-97.0,123.7,16,--,8,--,94,--,6,SBc,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,8,-,42,51.8,244-IG   4,--,287.61,-73.84,-121.0,117.6,7,:,6,:,--,:,--,Double system,interaction,--,--,--,--,--,16.1,0.3,--,80,--,--,--,--,--,--
1,12,8,-,70,6.7,51- G  25,I 1664 ?,300.11,-47.16,89.4,-6.5,4,--,1,--,68,--,5,S...,--,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,9,-,31,26.7,412- G  21,MCG-5-4-21,253.14,-83.54,32.8,-69.8,18,:,5,--,39,--,3,Sb:,"Disturbed, S comp 1.0 f",*,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,10,-,32,31.6,352- G  27,MCG-5-4-20,260.03,-82.83,4.0,133.4,16,--,12,--,88,--,6,Sc,In cluster,--,1,--,--,--,13.9,0.15,--,90,--,--,--,5262,30,2
1,12,19,-,55,17.1,151- G  35,--,295.97,-61.8,48.8,-12.2,12,:,8,:,92,--,5,S...,--,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,20,-,55,39.7,151-IG  36,N 454,296.12,-61.43,48.5,-32.3,20,:,20,:,--,:,--,Double system,Strongly interacting,--,--,--,--,--,13.35,--,88,99,--,--,--,--,--,--
1,12,21,-,73,33.3,29-SC  38,N 456,300.72,-43.74,23.6,82.1,--,--,--,--,--,--,--,OC + em neb,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,33,-,59,47.4,113- G  28,--,297.51,-57.36,-18.9,8.0,13,--,4,--,48,--,1,Sa,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,40,-,32,30.4,352- G  28,MCG-5-4-22,259.33,-82.77,9.6,134.5,16,--,15,--,--,:,-2,SBO(r),In cluster,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,42,-,33,17.0,352- G  29,--,263.47,-82.21,9.8,93.1,11,:,2,--,130,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,47,-,46,47.5,244- G   5,--,291.0,-70.05,-107.0,-91.4,10,--,3,--,103,--,2,Sa-b,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,52,-,58,56.3,113- G  29,--,297.16,-58.19,-17.2,53.4,10,--,5,--,9,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,12,57,-,44,44.8,244- G   6,--,289.13,-72.0,-109.5,17.5,13,:,9,:,11,:,-2,SO,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,6,-,45,11.1,244- G   7,--,289.46,-71.58,-107.2,-5.7,4,--,4,--,--,:,--,N,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,7,-,46,46.7,244- G   8,--,290.83,-70.05,-104.1,-90.6,8,:,8,:,--,:,1,Sa:,"B centre, in cl",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,10,-,26,42.8,475- G  14,MCG-5-4-24,207.1,-84.58,84.4,-83.0,27,:,5,--,130,--,8,Sc/Irr,L in group,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,16,-,73,32.3,29-SC  39,N 460,300.62,-43.75,27.1,82.9,--,--,--,--,--,--,--,Group of OC + neb,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,22,-,71,48.9,51-SC  26,N 458,300.29,-45.46,87.0,-97.5,--,--,--,--,--,--,--,OC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,23,-,27,6.4,475- G  15,MCG-5-4-25,211.3,-84.57,86.6,-104.1,13,--,11,--,--,:,3,Sb:,--,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,33,-,32,44.4,352- G  30,MCG-5-4-27,259.65,-82.47,19.5,122.1,16,--,16,--,--,:,6,Sc,In cluster,--,1,2,--,--,14.2,0.15,--,90,--,--,--,6041,25,2
1,13,41,-,45,33.3,244-IG   9,--,289.5,-71.19,-101.1,-25.3,6,:,6,:,--,:,--,N,Streamer,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,41,-,61,31.4,113- G  30,--,297.79,-55.63,-11.2,-84.4,12,--,10,--,--,:,3,Sb,In cluster,--,--,--,--,--,13.8,0.3,--,80,--,--,--,--,--,--
1,13,46,-,61,34.7,113- G  31,--,297.79,-55.57,-10.7,-87.3,14,:,4,--,28,--,1,Sa,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,47,-,50,27.2,195- G  35,--,293.09,-66.47,119.1,-28.1,14,:,10,:,125,:,-2,SBO(r),--,--,--,--,--,--,--,--,--,--,--,--,--,5200,--,23
1,13,48,-,30,55.0,412- ?  22,I 1663,247.78,-83.59,52.0,-42.0,--,--,--,--,--,--,--,...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,13,49,-,54,49.1,151- G  37,--,295.32,-62.21,60.8,12.3,12,:,4,--,45,--,5,S...,--,--,--,--,--,--,14.8,0.3,--,80,--,--,--,--,--,--
1,13,58,-,27,38.1,412- G  23,MCG-5-4-28,216.87,-84.46,55.9,133.1,15,--,3,--,172,--,5,S...,Disturbed,--,1,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,5,-,33,12.5,352- G  31,--,261.56,-82.06,25.2,97.1,2,--,2,--,--,:,--,...,"B, in cluster",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,10,-,21,29.4,542-IG   1,--,168.44,-81.77,-124.7,-73.9,4,--,3,--,--,:,--,Multiple? system,"B, contact",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,11,-,61,53.2,113- G  32,--,297.8,-55.26,-7.9,-103.7,14,--,4,--,58,--,3,Sb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,20,-,73,35.9,29-SC  40,N 465,300.53,-43.68,31.1,79.6,--,--,--,--,--,--,--,OC,In SMC,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,35,-,35,8.5,352- G  32,--,269.4,-80.53,29.9,-6.1,14,--,4,--,105,--,3,Sb:,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,40,-,52,41.9,151- G  38,--,294.03,-64.25,70.9,125.1,10,--,3,--,104,--,5,S...,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,51,-,44,26.7,244- G  10,--,287.77,-72.19,-92.0,34.2,14,:,14,:,--,:,1,Sa,--,--,--,--,--,--,--,--,--,--,--,--,--,7100,160,2C
1,14,52,-,46,40.4,244- G  11,--,289.9,-70.06,-88.1,-84.6,13,--,2,--,133,--,3,Sb,In cluster,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,14,59,-,17,58.5,542- G   2,--,156.76,-78.84,-117.0,113.7,18,--,3,--,178,--,5,S...,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
1,15,1,-,34,6.2,352- G  33,N 461,264.79,-81.28,35.3,49.3,16,--,12,--,23,--,6,Sc,Sev S comps,*,--,--,--,--,--,--,--,--,--,--,--,--,--,--
