Field,NPC_RAh,NPC_RAm,NPC_DEdeg,Plate,RAh,RAm,RAs,DE-,DEd,DEm,Diff_X,Diff_Y,Exp.Y,Exp.M,Exp.d,ExpST.h,ExpST.m,Seeing,Obs_Code,Note
244,1,24,-45,1105,1,24,31,-,45,6.8,-4.86,6.02,1975,10,6.19516,0,55,1,GPA,--
245,1,52,-45,1096,1,52,6,-,45,9.7,-1.01,8.6,1975,10,3.22759,1,30,1,OPA,--
246,2,20,-45,1155,2,20,18,-,45,7.1,-2.84,6.28,1975,11,25.09672,1,50,2,HES,--
247,2,48,-45,1106,2,48,4,-,45,2.0,-0.69,1.8,1975,10,6.25264,2,18,1,OPA,--
248,3,16,-45,1103,3,16,10,-,44,51.9,-1.57,-7.21,1975,10,5.27476,2,46,1,OPA,--
249,3,44,-45,1161,3,43,52,-,44,51.8,1.27,-7.29,1975,11,27.15013,3,15,2,GPA,--
250,4,12,-45,1735,4,11,50,-,44,46.6,1.54,-11.89,1976,11,17.17952,3,21,5,HES,--
251,4,40,-45,1124,4,40,10,-,45,4.7,-1.58,4.17,1975,11,6.24556,4,10,4,OPA,--
252,5,8,-45,1238,5,8,8,-,45,5.8,-1.29,5.13,1976,1,24.04717,4,35,2,GPA,--
253,5,36,-45,1719,5,35,48,-,44,58.5,1.93,-1.35,1976,11,1.28,4,43,2,GPA,--
254,6,4,-45,1180,6,3,40,-,45,0.4,3.15,0.39,1975,12,4.22107,5,25,1,OPA,--
255,6,32,-45,1239,6,32,8,-,45,5.1,-1.27,4.53,1976,1,24.10742,6,2,2,GPA,--
256,7,0,-45,1247,7,0,5,-,44,59.5,-0.79,-0.48,1976,1,27.11862,6,30,3,GPA,--
257,7,28,-45,1352,7,27,43,-,45,2.6,2.71,2.29,1976,3,2.01959,6,25,2,OPA,--
258,7,56,-45,1242,7,55,51,-,45,10.4,1.47,9.21,1976,1,25.16217,7,25,3,GPA,--
259,8,24,-45,1248,8,23,55,-,45,6.4,0.84,5.67,1976,1,27.17749,7,55,3,GPA,--
260,8,52,-45,1296,8,51,53,-,45,4.5,1.1,3.98,1976,2,8.16203,8,20,1,OPA,--
261,9,20,-45,1324,9,19,58,-,45,6.0,0.28,5.33,1976,2,23.12108,8,20,2,OPA,--
262,9,48,-45,820,9,47,43,-,45,2.5,2.6,2.19,1975,3,15.08451,8,47,1,DBA,--
263,10,16,-45,869,10,15,45,-,45,2.5,2.34,2.19,1975,4,15.01995,9,16,1,GPA,--
264,10,44,-45,898,10,43,44,-,45,1.6,2.59,1.42,1975,5,4.94041,8,40,1,OPA,--
265,11,12,-45,1345,11,12,4,-,44,58.0,-0.6,-1.8,1976,2,29.18088,10,10,3,OPA,--
266,11,40,-45,809,11,39,52,-,45,2.0,1.2,1.81,1975,3,13.16476,10,35,3,GPA,--
267,12,8,-45,796,12,7,57,-,45,3.2,0.46,2.83,1975,2,20.23941,11,0,1,DBA,--
268,12,36,-45,861,12,35,48,-,45,2.2,1.9,1.93,1975,4,12.1244,11,35,1,HES,--
269,13,4,-45,804,13,3,53,-,45,3.1,1.15,2.74,1975,3,9.23455,12,0,1,HES,--
270,13,32,-45,900,13,31,50,-,45,3.1,1.61,2.77,1975,5,5.09969,12,30,2,HES,--
271,14,0,-45,811,13,59,50,-,45,2.7,1.61,2.37,1975,3,13.26657,13,2,1,DBA,--
272,14,28,-45,955,14,27,50,-,44,55.1,1.52,-4.34,1975,6,13.05554,14,0,2,OPA,6
273,14,56,-45,944,14,55,48,-,45,3.3,1.82,2.96,1975,6,10.08243,14,27,4,GPA,--
274,15,24,-45,812,15,23,50,-,45,2.5,1.5,2.21,1975,3,13.31643,14,14,1,DBA,--
275,15,52,-45,960,15,51,48,-,45,0.4,1.81,0.37,1975,6,14.11029,15,23,1,OPA,6
276,16,20,-45,857,16,19,47,-,45,2.1,2.09,1.88,1975,4,11.32105,16,15,3,GPA,--
277,16,48,-45,945,16,47,39,-,45,1.5,3.32,1.34,1975,6,10.15722,16,15,4,OPA,--
278,17,16,-45,852,17,15,50,-,45,2.7,1.59,2.39,1975,4,9.33482,16,27,2,GPA,--
279,17,44,-45,606,17,44,4,-,45,2.5,-0.7,2.21,1974,8,18.00971,17,15,3,DBA,--
280,18,12,-45,957,18,11,44,-,45,1.1,2.56,0.99,1975,6,13.2079,17,40,2,OPA,--
281,18,40,-45,986,18,39,46,-,45,2.6,2.25,2.29,1975,7,6.16656,18,11,2,HES,--
282,19,8,-45,982,19,7,26,-,45,7.2,5.28,6.39,1975,7,4.19211,18,40,5,HES,--
283,19,36,-45,611,19,36,2,-,45,3.1,-0.3,2.8,1974,8,21.05346,18,30,1,DBA,--
284,20,4,-45,1011,20,3,45,-,45,1.4,2.3,1.26,1975,7,14.19943,19,30,5,OPA,2
285,20,32,-45,1071,20,32,4,-,45,2.1,-0.67,1.89,1975,9,14.05092,20,0,2,GPA,--
286,21,0,-45,612,21,0,3,-,45,5.0,-0.46,4.47,1974,8,21.11579,20,0,1,DBA,--
287,21,28,-45,999,21,27,50,-,45,1.7,1.53,1.5,1975,7,10.26922,20,55,3,HES,--
288,21,56,-45,608,21,55,58,-,45,4.4,0.38,3.9,1974,8,18.15861,20,50,2,DBA,--
289,22,24,-45,610,22,24,5,-,45,3.5,-0.71,3.12,1974,8,20.17393,21,20,3,OPA,--
290,22,52,-45,604,22,52,17,-,45,4.3,-2.72,3.79,1974,8,16.20562,21,50,5,DBA,2
291,23,20,-45,1108,23,20,21,-,45,15.6,-3.33,13.84,1975,10,7.10724,22,52,1,OPA,--
292,23,48,-45,1562,23,48,32,-,45,3.4,-5.05,3.03,1976,7,1.37206,22,51,3,OPA,--
293,0,0,-40,614,0,0,3,-,40,2.7,-0.46,2.42,1974,8,21.24045,23,0,1,DBA,--
294,0,26,-40,657,0,25,58,-,40,4.3,0.33,3.79,1974,10,19.08974,23,15,1,DBA,--
295,0,52,-40,1101,0,51,49,-,40,4.8,1.9,4.29,1975,10,5.17365,0,20,2,GPA,--
296,1,18,-40,1156,1,17,26,-,39,56.1,5.72,-3.43,1975,11,26.05244,0,50,1,HES,--
297,1,44,-40,1114,1,44,8,-,40,1.9,-1.44,1.71,1975,10,9.20082,1,15,3,OPA,--
298,2,10,-40,1742,2,9,55,-,39,58.7,0.88,-1.12,1976,11,19.08126,1,7,3,HES,--
299,2,36,-40,1087,2,36,10,-,40,4.3,-1.7,3.85,1975,10,1.25729,2,5,1,GPA,--
300,3,2,-40,1157,3,1,59,-,40,3.0,0.23,2.71,1975,11,26.1217,2,30,1,GPA,--
301,3,28,-40,1118,3,28,0,-,39,53.2,0.07,-6.02,1975,10,11.26669,2,58,4,GPA,--
302,3,54,-40,1136,3,53,49,-,40,5.1,1.85,4.52,1975,11,9.2062,3,25,1,HES,--
303,4,20,-40,1116,4,20,11,-,39,59.8,-1.92,-0.2,1975,10,9.30816,3,50,2,GPA,--
304,4,46,-40,1140,4,46,2,-,40,10.6,-0.26,9.41,1975,11,10.23879,4,16,1,HES,--
305,5,12,-40,1240,5,11,58,-,39,51.7,0.3,-7.36,1976,1,25.0479,4,40,2,GPA,--
306,5,38,-40,1246,5,38,0,-,39,57.5,0.05,-2.19,1976,1,27.06322,5,10,5,GPA,--
307,6,4,-40,1200,6,4,5,-,39,52.0,-0.86,-7.14,1975,12,11.2054,5,30,1,GPA,--
308,6,30,-40,1241,6,29,58,-,40,0.0,0.35,-0.02,1976,1,25.10331,6,0,3,GPA,--
309,6,56,-40,1776,6,56,1,-,40,3.2,-0.12,2.89,1976,11,27.25956,5,56,4,GPA,--
310,7,22,-40,1349,7,22,8,-,40,5.3,-1.41,4.73,1976,3,1.02301,6,26,3,OPA,--
311,7,48,-40,1342,7,48,0,-,40,8.4,0.0,7.45,1976,2,29.03752,6,43,1,OPA,--
312,8,14,-40,1358,8,13,43,-,40,11.5,2.88,10.19,1976,3,3.05357,7,18,5,GPA,--
313,8,40,-40,1328,8,39,51,-,39,56.1,1.54,-3.45,1976,2,25.08792,7,40,2,OPA,--
314,9,6,-40,1343,9,5,35,-,40,7.0,4.28,6.24,1976,2,29.09154,8,1,1,OPA,--
315,9,32,-40,1416,9,31,59,-,40,3.6,0.2,3.21,1976,3,27.04205,8,36,2,GPA,--
316,9,58,-40,1228,9,57,54,-,39,57.3,1.03,-2.38,1976,1,9.29173,9,29,1,GPA,--
317,10,24,-40,1237,10,23,57,-,39,56.6,0.44,-3.03,1976,1,12.29809,9,50,1,GPA,--
318,10,50,-40,1294,10,49,52,-,39,59.0,1.28,-0.86,1976,2,7.25687,10,33,1,OPA,--
319,11,16,-40,1451,11,15,52,-,40,3.2,1.29,2.81,1976,4,22.03963,10,15,2,OPA,--
320,11,42,-40,1492,11,41,51,-,40,5.8,1.58,5.2,1976,4,30.03786,10,44,4,OPA,--
321,12,8,-40,1462,12,7,51,-,39,57.1,1.48,-2.62,1976,4,25.07091,11,12,1,OPA,--
322,12,34,-40,942,12,33,31,-,40,5.1,4.99,4.54,1975,6,9.98755,12,10,3,OPA,6
323,13,0,-40,1340,12,59,59,-,40,10.2,0.13,9.04,1976,2,28.25632,11,55,3,HES,--
324,13,26,-40,1436,13,25,50,-,40,7.7,1.67,6.86,1976,4,4.18019,12,27,2,OPA,--
325,13,52,-40,939,13,51,47,-,39,55.8,2.19,-3.73,1975,6,9.04083,13,23,3,GPA,2
326,14,18,-40,983,14,17,50,-,39,55.9,1.67,-3.66,1975,7,5.98512,13,49,2,GPA,--
327,14,44,-40,994,14,43,57,-,39,57.5,0.45,-2.19,1975,7,8.9984,14,20,2,GPA,2
328,15,10,-40,1464,15,9,40,-,40,2.2,3.4,2.0,1976,4,25.19418,14,10,1,GPA,--
329,15,36,-40,984,15,35,31,-,40,4.5,4.92,4.02,1975,7,6.0426,15,12,1,GPA,--
330,16,2,-40,971,16,1,50,-,39,56.4,1.77,-3.16,1975,6,29.07418,15,30,2,GPA,--
331,16,28,-40,974,16,28,6,-,39,55.5,-0.98,-3.98,1975,6,30.09222,16,0,2,GPA,4
332,16,54,-40,985,16,53,45,-,40,5.9,2.58,5.25,1975,7,6.09662,16,30,1,GPA,--
333,17,20,-40,952,17,19,42,-,40,6.0,3.06,5.37,1975,6,12.17254,16,45,4,OPA,6
334,17,46,-40,961,17,45,37,-,40,6.3,3.91,5.63,1975,6,14.18439,17,10,1,OPA,2
335,18,12,-40,1010,18,11,45,-,39,57.4,2.51,-2.31,1975,7,14.12325,17,40,5,OPA,2
336,18,38,-40,997,18,38,0,-,40,3.0,0.08,2.65,1975,7,10.15426,18,9,5,GPA,--
337,19,4,-40,1004,19,3,44,-,40,3.5,2.75,3.12,1975,7,12.16473,18,32,3,OPA,2
338,19,30,-40,1013,19,29,33,-,40,0.0,4.6,-0.02,1975,7,15.17593,19,0,3,HES,2
339,19,56,-40,1057,19,55,32,-,40,12.6,4.77,11.19,1975,9,4.05399,19,25,2,GPA,--
340,20,22,-40,1074,20,22,16,-,40,11.3,-2.67,10.06,1975,9,28.00577,19,50,5,OPA,2
341,20,48,-40,1072,20,47,53,-,39,58.9,1.11,-0.98,1975,9,27.0272,20,17,3,OPA,--
342,21,14,-40,1014,21,13,42,-,39,55.8,3.06,-3.72,1975,7,15.24518,20,40,3,OPA,--
343,21,40,-40,1031,21,39,48,-,39,56.2,2.1,-3.41,1975,8,13.18678,21,10,3,GPA,--
344,22,6,-40,1026,22,5,47,-,40,7.8,2.27,6.94,1975,8,10.21228,21,35,4,OPA,--
345,22,32,-40,613,22,32,2,-,40,2.7,-0.32,2.41,1974,8,21.17812,21,30,1,OPA,--
346,22,58,-40,1603,22,58,34,-,40,10.6,-5.7,9.46,1976,8,19.19533,21,49,4,HES,--
347,23,24,-40,1665,23,24,13,-,39,57.3,-2.17,-2.43,1976,10,18.05644,22,25,3,OPA,--
348,23,50,-40,1628,23,49,59,-,40,3.3,0.13,2.94,1976,8,29.21027,22,50,3,OPA,--
349,0,0,-35,1677,23,59,55,-,35,6.9,0.85,6.18,1976,10,23.06702,23,0,2,GPA,--
350,0,24,-35,1080,0,23,39,-,35,13.3,3.8,11.87,1975,9,30.16652,23,50,1,GPA,--
351,0,48,-35,1737,0,47,54,-,35,10.9,1.01,9.72,1976,11,18.02512,23,42,4,HES,--
352,1,12,-35,2304,1,11,50,-,35,1.8,1.85,1.63,1977,9,11.23223,0,12,2,GPA,--
353,1,36,-35,1081,1,36,4,-,34,53.2,-0.79,-6.01,1975,9,30.21638,1,2,1,OPA,--
354,2,0,-35,1738,1,59,13,-,35,11.9,8.52,10.6,1976,11,18.08191,1,4,4,HES,--
355,2,24,-35,1110,2,24,14,-,34,52.0,-2.49,-7.09,1975,10,7.23606,1,58,2,GPA,--
356,2,48,-35,420,2,48,17,-,35,37.7,-3.02,33.57,1973,11,25.04485,0,37,1,HES,9
356,2,48,-35,420,2,48,17,-,35,37.7,-3.02,33.57,1973,11,25.04485,0,37,1,HES,--
357,3,12,-35,1734,3,12,6,-,34,57.8,-1.17,-1.94,1976,11,14.1517,2,29,4,HES,--
358,3,36,-35,1184,3,35,56,-,34,46.3,0.81,-12.15,1975,12,5.11792,3,0,2,OPA,--
359,4,0,-35,1674,3,59,15,-,35,1.7,8.14,1.49,1976,10,21.24008,3,2,1,GPA,--
360,4,24,-35,1144,4,24,15,-,35,10.9,-2.67,9.68,1975,11,11.22152,3,55,2,HES,--
361,4,48,-35,1668,4,48,10,-,35,5.5,-1.83,4.92,1976,10,19.27532,3,45,4,GPA,--
362,5,12,-35,1675,5,11,48,-,35,0.1,2.14,0.12,1976,10,21.28925,4,13,2,OPA,--
363,5,36,-35,1198,5,36,35,-,35,10.2,-6.45,9.1,1975,12,10.19635,5,13,1,GPA,--
364,6,0,-35,1217,5,59,42,-,34,50.8,3.29,-8.17,1976,1,2.15156,5,39,2,GPA,--
365,6,24,-35,1221,6,23,51,-,35,2.2,1.55,1.95,1976,1,4.15372,5,50,2,GPA,--
366,6,48,-35,1212,6,47,55,-,35,7.9,0.97,7.02,1975,12,30.18676,6,18,3,OPA,2
367,7,12,-35,1224,7,11,54,-,34,53.9,1.15,-5.47,1976,1,8.17742,6,40,2,GPA,--
368,7,36,-35,1201,7,36,12,-,35,12.4,-2.15,11.03,1975,12,11.26773,7,0,1,GPA,--
369,8,0,-35,1218,7,59,27,-,35,5.0,6.06,4.49,1976,1,2.22359,7,23,4,HES,4
370,8,24,-35,2540,8,23,54,-,35,2.0,1.08,1.74,1978,1,5.22437,7,38,4,GPA,--
371,8,48,-35,1332,8,47,57,-,34,57.7,0.63,-2.07,1976,2,26.08865,7,45,2,OPA,--
372,9,12,-35,1390,9,11,54,-,35,11.7,1.06,10.41,1976,3,22.0377,8,10,3,GPA,--
373,9,36,-35,1815,9,33,47,-,34,55.2,24.33,-4.31,1976,12,20.30341,8,30,3,OPA,9
373,9,36,-35,1815,9,33,47,-,34,55.2,24.33,-4.31,1976,12,20.30341,8,30,3,OPA,--
374,10,0,-35,1297,9,59,41,-,35,4.6,3.45,4.09,1976,2,8.21259,9,33,1,OPA,--
375,10,24,-35,1235,10,23,55,-,35,12.2,0.95,10.81,1976,1,11.30082,9,50,1,HES,--
376,10,48,-35,1425,10,47,58,-,34,54.7,0.35,-4.69,1976,4,2.07692,9,50,1,OPA,--
377,11,12,-35,1473,11,11,52,-,35,2.3,1.45,2.03,1976,4,27.02459,10,13,1,GPA,--
378,11,36,-35,1852,11,35,50,-,34,56.4,1.81,-3.22,1977,1,19.30114,10,25,2,OPA,--
379,12,0,-35,1481,11,59,49,-,35,3.9,2.07,3.48,1976,4,28.05441,11,0,2,OPA,--
380,12,24,-35,1426,12,23,51,-,34,57.4,1.56,-2.27,1976,4,2.14271,11,25,2,GPA,--
381,12,48,-35,1442,12,47,52,-,34,59.6,1.48,-0.4,1976,4,6.14564,11,45,1,OPA,--
382,13,12,-35,1482,13,11,43,-,35,3.7,3.15,3.25,1976,4,28.10497,12,13,2,GPA,--
383,13,36,-35,1494,13,36,9,-,35,6.2,-1.72,5.48,1976,5,2.10928,12,35,3,GPA,6
384,14,0,-35,1475,13,59,55,-,35,2.1,0.95,1.87,1976,4,27.14024,13,0,1,GPA,--
385,14,24,-35,1433,14,23,52,-,35,2.2,1.43,1.92,1976,4,3.22517,13,28,1,GPA,--
386,14,48,-35,1427,14,47,59,-,35,6.3,0.18,5.56,1976,4,2.23967,13,45,2,GPA,--
387,15,12,-35,1002,15,11,48,-,35,2.1,2.19,1.85,1975,7,12.00059,14,35,4,OPA,--
388,15,36,-35,1437,15,35,53,-,35,7.3,1.35,6.53,1976,4,4.27022,14,37,4,GPA,--
389,16,0,-35,1019,15,59,54,-,34,47.8,1.03,-10.86,1975,7,30.99234,15,38,1,GPA,--
390,16,24,-35,991,16,23,46,-,35,2.4,2.46,2.1,1975,7,8.06692,15,55,2,GPA,--
391,16,48,-35,995,16,47,44,-,35,3.6,2.87,3.16,1975,7,9.07804,16,15,1,GPA,--
392,17,12,-35,996,17,12,2,-,34,57.9,-0.42,-1.85,1975,7,10.09262,16,40,5,GPA,2
393,17,36,-35,1020,17,35,47,-,35,3.8,2.35,3.37,1975,7,31.0526,17,5,1,GPA,--
394,18,0,-35,1471,17,59,49,-,35,2.0,2.07,1.78,1976,4,26.30988,17,1,2,GPA,--
395,18,24,-35,1558,18,23,58,-,35,3.3,0.31,2.91,1976,7,1.14352,17,21,1,HES,--
396,18,48,-35,2189,18,47,40,-,35,2.5,3.58,2.22,1977,6,10.21814,17,45,4,OPA,--
397,19,12,-35,1021,19,11,55,-,35,3.8,1.0,3.34,1975,7,31.11839,18,40,1,GPA,--
398,19,36,-35,1559,19,35,45,-,34,57.4,2.78,-2.3,1976,7,1.19616,18,37,2,OPA,--
399,20,0,-35,1082,19,59,56,-,34,57.8,0.76,-1.98,1975,9,30.99065,19,40,1,OPA,--
400,20,24,-35,1088,20,24,2,-,34,51.6,-0.42,-7.49,1975,10,1.99831,19,55,3,GPA,--
401,20,48,-35,1093,20,47,57,-,35,5.8,0.52,5.13,1975,10,3.0129,20,20,1,GPA,--
402,21,12,-35,1098,21,11,51,-,34,59.8,1.69,-0.15,1975,10,4.02402,20,40,3,OPA,--
403,21,36,-35,1075,21,35,50,-,34,51.0,1.76,-8.0,1975,9,28.0591,21,7,5,GPA,2
404,22,0,-35,1073,21,59,51,-,35,1.6,1.72,1.46,1975,9,27.08191,21,36,4,OPA,2
405,22,24,-35,1089,22,23,57,-,35,2.8,0.5,2.5,1975,10,2.07796,21,50,1,OPA,--
406,22,48,-35,1084,22,48,0,-,34,55.8,-0.09,-3.7,1975,10,1.098,22,15,1,OPA,--
407,23,12,-35,1100,23,11,50,-,34,57.5,1.86,-2.21,1975,10,5.10647,22,43,1,OPA,--
408,23,36,-35,1566,23,36,5,-,35,2.6,-0.91,2.34,1976,7,2.3541,22,29,2,HES,--
409,0,0,-30,2460,0,0,22,-,30,9.0,-4.18,8.03,1977,11,12.01308,23,0,5,OPA,1
410,0,23,-30,2856,0,22,45,-,30,3.9,2.88,3.46,1978,8,9.33407,0,28,3,HES,--
411,0,46,-30,1741,0,46,8,-,30,6.7,-1.62,5.95,1976,11,19.02793,23,50,3,HES,--
412,1,9,-30,1666,1,9,15,-,30,8.3,-2.96,7.39,1976,10,19.12296,0,5,3,OPA,--
413,1,32,-30,2457,1,31,46,-,30,4.6,2.76,4.13,1977,11,11.07467,0,25,5,OPA,--
414,1,55,-30,2443,1,55,1,-,30,7.3,-0.23,6.5,1977,11,8.11126,1,6,2,HES,--
415,2,18,-30,2462,2,17,51,-,30,1.0,1.67,0.93,1977,11,12.11003,1,20,3,OPA,--
416,2,41,-30,2497,2,41,2,-,30,0.8,-0.45,0.67,1977,12,5.06593,1,47,4,HES,--
417,3,4,-30,1631,3,3,33,-,30,8.0,5.26,7.12,1976,8,30.34398,2,7,1,OPA,--
418,3,27,-30,1667,3,27,7,-,30,3.0,-1.31,2.68,1976,10,19.222,2,28,5,OPA,--
419,3,50,-30,2357,3,49,42,-,29,58.6,3.51,-1.26,1977,10,9.26728,2,53,2,HES,--
420,4,13,-30,1739,4,12,42,-,30,3.7,3.41,3.27,1976,11,18.17471,3,18,3,HES,--
421,4,36,-30,1684,4,36,14,-,30,4.9,-2.73,4.39,1976,10,24.25475,3,35,4,GPA,--
422,4,59,-30,2435,4,58,56,-,30,2.0,0.72,1.74,1977,11,6.23861,4,2,2,GPA,--
423,5,22,-30,1211,5,22,14,-,30,4.8,-2.74,4.25,1975,12,30.12928,4,55,1,OPA,2
424,5,45,-30,2445,5,44,48,-,29,55.1,2.29,-4.37,1977,11,8.26501,4,48,2,HES,--
425,6,8,-30,1209,6,8,0,-,29,56.7,0.06,-2.96,1975,12,29.1604,5,36,1,OPA,--
426,6,31,-30,1318,6,30,53,-,30,7.5,1.43,6.63,1976,2,21.02958,6,0,2,OPA,--
427,6,54,-30,1327,6,53,44,-,30,1.9,2.99,1.73,1976,2,25.02213,6,5,2,OPA,--
428,7,17,-30,1331,7,16,57,-,30,2.8,0.65,2.5,1976,2,26.02632,6,15,1,OPA,--
429,7,40,-30,1210,7,40,1,-,30,5.9,-0.25,5.27,1975,12,29.22551,7,10,1,OPA,--
430,8,3,-30,1337,8,2,44,-,30,2.1,3.08,1.89,1976,2,28.05202,7,0,1,OPA,--
431,8,26,-30,1866,8,25,56,-,30,0.8,0.7,0.72,1977,1,23.16695,7,27,5,OPA,--
432,8,49,-30,1855,8,48,46,-,30,2.3,2.77,2.02,1977,1,20.19107,7,50,2,OPA,--
433,9,12,-30,1413,9,11,55,-,30,6.4,0.88,5.71,1976,3,26.02886,8,13,1,HES,--
434,9,35,-30,1424,9,34,47,-,30,7.5,2.43,6.66,1976,4,2.02152,8,30,1,GPA,--
435,9,58,-30,1329,9,58,50,-,29,57.9,-9.69,-1.91,1976,2,25.14332,9,0,1,HES,--
436,10,21,-30,1389,10,20,59,-,29,56.9,0.22,-2.72,1976,3,21.08337,9,12,1,GPA,--
437,10,44,-30,1431,10,43,48,-,30,3.4,2.26,3.02,1976,4,3.07073,9,45,1,OPA,2
438,11,7,-30,1434,11,6,57,-,30,0.0,0.56,-0.01,1976,4,4.07839,10,0,2,OPA,--
439,11,30,-30,1455,11,29,52,-,30,7.1,1.63,6.34,1976,4,23.04728,10,30,4,GPA,2
440,11,53,-30,1498,11,52,54,-,30,2.9,1.18,2.56,1976,5,3.0366,10,54,4,GPA,--
441,12,16,-30,1435,12,15,59,-,30,2.8,0.11,2.45,1976,4,4.13033,11,15,2,GPA,--
442,12,39,-30,1452,12,38,47,-,29,56.3,2.48,-3.29,1976,4,22.09503,11,35,1,GPA,--
443,13,2,-30,1468,13,1,50,-,30,3.4,1.96,3.03,1976,4,26.10142,12,0,2,OPA,--
444,13,25,-30,1463,13,25,3,-,29,57.1,-0.49,-2.59,1976,4,25.12147,12,25,1,GPA,--
445,13,48,-30,1439,13,48,0,-,29,55.9,-0.01,-3.67,1976,4,5.18993,12,45,3,GPA,--
446,14,11,-30,1469,14,10,59,-,30,0.3,0.28,0.28,1976,4,26.15128,13,12,2,GPA,--
447,14,34,-30,1483,14,33,49,-,30,2.8,2.04,2.52,1976,4,28.16175,13,35,1,OPA,--
448,14,57,-30,1440,14,56,57,-,29,59.5,0.64,-0.47,1976,4,5.24048,13,58,2,OPA,--
449,15,20,-30,1446,15,19,57,-,30,5.1,0.65,4.56,1976,4,8.24753,14,20,2,GPA,--
450,15,43,-30,1476,15,42,54,-,30,9.8,1.2,8.73,1976,4,27.21712,14,51,2,OPA,--
451,16,6,-30,1542,16,6,5,-,30,8.4,-0.91,7.45,1976,6,24.06845,15,5,3,HES,--
452,16,29,-30,1441,16,28,54,-,30,9.2,1.08,8.21,1976,4,5.30073,15,25,2,GPA,--
453,16,52,-30,1470,16,51,50,-,30,2.3,1.9,2.01,1976,4,26.26071,15,50,2,OPA,--
454,17,15,-30,1429,17,15,3,-,30,6.8,-0.62,6.01,1976,4,2.34355,16,15,2,OPA,--
455,17,38,-30,1477,17,37,59,-,30,3.8,0.16,3.41,1976,4,27.29261,16,40,3,GPA,--
456,18,1,-30,1484,18,0,51,-,30,0.8,1.74,0.71,1976,4,28.3065,17,4,1,GPA,--
457,18,24,-30,1563,18,23,58,-,30,2.7,0.4,2.4,1976,7,2.13594,17,14,2,HES,--
458,18,47,-30,2195,18,46,44,-,29,58.3,3.12,-1.49,1977,6,13.20995,17,45,2,HES,--
459,19,10,-30,1502,19,9,59,-,30,3.3,0.12,2.94,1976,5,3.33994,18,12,2,OPA,--
460,19,33,-30,1564,19,32,48,-,30,5.5,2.38,4.85,1976,7,2.19827,18,44,2,HES,--
461,19,56,-30,1540,19,55,56,-,29,56.8,0.83,-2.86,1976,6,23.23185,18,57,1,GPA,--
462,20,19,-30,1544,20,19,8,-,30,2.5,-1.63,2.21,1976,6,24.24366,19,18,4,HES,--
463,20,42,-30,1602,20,41,52,-,30,2.5,1.63,2.25,1976,8,19.13023,20,15,3,HES,--
464,21,5,-30,1560,21,4,57,-,30,10.0,0.56,8.93,1976,7,1.25918,20,8,2,HES,--
465,21,28,-30,1627,21,27,46,-,29,59.2,2.74,-0.73,1976,8,29.11332,20,30,3,OPA,--
466,21,51,-30,2284,21,50,49,-,30,4.1,2.19,3.68,1977,9,4.11283,20,52,2,OPA,--
467,22,14,-30,1561,22,14,1,-,30,3.8,-0.24,3.42,1976,7,1.31458,21,28,3,HES,--
468,22,37,-30,1618,22,36,46,-,29,58.2,2.67,-1.58,1976,8,22.20168,22,10,4,HES,2
469,23,0,-30,1154,22,59,51,-,30,8.2,1.72,7.3,1975,11,23.02947,0,5,2,HES,--
470,23,23,-30,1691,23,22,57,-,29,54.3,0.66,-5.08,1976,10,26.03113,22,20,5,GPA,--
471,23,46,-30,1681,23,45,50,-,30,1.2,1.86,1.1,1976,10,24.05391,22,45,4,GPA,--
472,0,0,-25,2860,0,0,27,-,25,2.0,-5.51,1.74,1978,8,10.28425,23,20,5,HES,--
473,0,22,-25,2874,0,21,54,-,25,9.1,1.17,8.06,1978,8,12.27533,23,15,4,HES,--
474,0,44,-25,2244,0,44,5,-,25,8.0,-0.97,7.16,1977,8,18.29984,0,15,2,OPA,--
475,1,6,-25,1682,1,6,5,-,25,9.9,-0.97,8.85,1976,10,24.10931,0,5,5,GPA,--
476,1,28,-25,2429,1,27,59,-,24,59.2,0.19,-0.74,1977,11,5.09383,0,29,5,GPA,--
477,1,50,-25,1630,1,50,5,-,25,1.2,-0.96,1.1,1976,8,30.29065,0,50,1,OPA,--
478,2,12,-25,2492,2,12,2,-,25,3.3,-0.42,2.9,1977,12,4.04304,1,10,4,GPA,--
479,2,34,-25,2430,2,34,7,-,25,0.9,-1.43,0.81,1977,11,5.14923,1,49,5,HES,--
480,2,56,-25,1803,2,56,12,-,25,1.7,-2.38,1.55,1976,12,12.0517,1,55,4,GPA,--
481,3,18,-25,1683,3,17,50,-,25,7.5,2.11,6.67,1976,10,24.19934,2,15,4,GPA,--
482,3,40,-25,1671,3,39,53,-,25,3.2,1.42,2.83,1976,10,20.23104,2,45,3,GPA,--
483,4,2,-25,2431,4,1,50,-,24,59.0,2.07,-0.87,1977,11,5.20671,3,12,5,HES,--
484,4,24,-25,1817,4,23,53,-,24,53.6,1.33,-5.67,1976,12,21.08945,3,25,3,OPA,--
485,4,46,-25,1689,4,45,59,-,25,8.0,0.21,7.15,1976,10,25.25894,3,45,5,GPA,--
486,5,8,-25,2495,5,8,7,-,25,11.6,-1.47,10.36,1977,12,4.1677,4,10,3,GPA,--
487,5,30,-25,1857,5,30,8,-,24,59.9,-1.53,-0.11,1977,1,21.05052,4,31,3,OPA,--
488,5,52,-25,1810,5,51,43,-,24,57.5,3.46,-2.23,1976,12,15.16471,4,50,4,OPA,3
