RFGC,FGC(E),m_FGC(E),PGC,RAh,RAm,RAs,DE-,DEd,DEm,DEs,RA1950h,RA1950m,RA1950s,DE1950-,DE1950d,DE1950m,DE1950s,GLON,GLAT,PA,---,aO,bO,aE,bE,Btot,AB,MType,As,SB,N,Notes
713,418,--,--,3,24,3.8,+,15,6,7,3,21,16.2,+,14,55,32,168.83,-33.84,72,713,0.9,0.12,1.01,0.11,16.5,0.91,dm,2,III,1,Curved
714,322,E,--,3,24,26.4,-,71,28,30,3,24,28.6,-,71,38,59,287.85,-40.88,40,714,0.63,0.06,0.67,0.09,17.5,0.15,c,0,III,1,--
715,315,E,12748,3,24,38.2,-,19,17,53,3,22,22.6,-,19,28,25,208.67,-54.09,118,715,1.04,0.09,0.63,0.1,17.0,0.14,d,0,III,0,--
716,421,--,--,3,24,48.4,+,19,51,56,3,21,56.0,+,19,41,24,165.34,-30.1,128,716,1.2,0.11,1.1,0.13,16.3,0.71,c,1,II,0,--
717,419,--,12757,3,24,56.3,+,38,56,37,3,21,40.8,+,38,46,4,152.9,-14.84,1,717,0.9,0.11,0.9,0.11,16.5,0.79,c,1,II,2,--
718,317,E,--,3,24,58.6,-,38,14,28,3,23,5.9,-,38,24,58,241.91,-56.12,85,718,0.65,0.09,0.58,0.1,17.0,0.08,c,0,II,0,--
719,423,--,12775,3,25,7.7,+,5,14,6,3,22,29.3,+,5,3,34,177.71,-40.75,170,719,1.21,0.1,1.23,0.11,16.5,0.61,cd,0,III,0,--
720,319,E,12791,3,25,19.0,-,57,30,0,3,24,7.2,-,57,40,28,272.05,-49.37,75,720,0.99,0.09,0.95,0.11,16.8,0.18,c,0,III,0,Diffuse. Slightly curved ends
721,422,--,--,3,25,20.2,+,25,29,24,3,22,21.8,+,25,18,53,161.46,-25.64,106,721,0.76,0.1,0.62,0.1,16.8,0.59,dm,2,II,3,--
722,424,--,12798,3,25,25.0,-,16,14,6,3,23,6.4,-,16,24,36,204.01,-52.78,10,722,3.23,0.28,2.93,0.34,14.7,0.16,d,0,II,0,--
723,420,--,--,3,25,33.6,+,19,45,45,3,22,41.3,+,19,35,15,165.57,-30.07,89,723,0.73,0.1,0.73,0.1,16.9,0.7,cd,0,III,1,Component of pair at 1.1 N
724,320,E,--,3,25,44.8,-,47,58,12,3,24,9.1,-,48,8,40,258.27,-53.56,128,724,0.9,0.09,0.67,0.09,17.0,0.04,c,0,III,0,--
725,425,--,--,3,26,12.2,+,1,24,25,3,23,37.3,+,1,13,58,181.79,-43.1,143,725,0.81,0.08,0.45,0.1,17.5,0.41,dm,1,IV,1,--
--,323,E,--,3,26,12.9,-,62,54,46,3,25,21.7,-,63,5,10,278.63,-46.24,162,--,0.57,0.08,0.54,0.1,17.2,0.27,bc,0,II,1,--
--,318,E,--,3,26,18.7,-,20,6,36,3,24,4.1,-,20,17,3,210.2,-53.98,95,--,0.54,0.07,0.48,0.08,17.6,0.12,c,0,III,0,--
726,321,E,--,3,26,41.8,-,18,8,56,3,24,25.2,-,18,19,22,207.14,-53.23,50,726,0.6,0.06,0.67,0.08,17.5,0.17,c,0,III,0,--
727,324,E,--,3,26,47.6,-,60,19,10,3,25,46.0,-,60,29,33,275.46,-47.68,11,727,0.76,0.07,0.48,0.07,17.5,0.25,c,0,III,0,Very faint. Very curved arms
728,428,--,--,3,27,19.7,+,3,55,13,3,24,42.4,+,3,44,49,179.48,-41.23,175,728,0.75,0.1,0.67,0.11,17.0,0.54,cd,0,III,0,--
729,326,E,12883,3,27,28.0,-,53,4,40,3,26,4.2,-,53,15,1,265.76,-51.26,81,729,0.96,0.13,0.78,0.13,16.4,0.08,cd,0,II,5,--
730,429,--,--,3,27,34.6,+,8,59,42,3,24,52.6,+,8,49,19,174.76,-37.7,146,730,1.18,0.07,1.03,0.12,16.9,1.13,cd,0,III,1,--
731,426,--,12900,3,27,48.0,+,40,2,2,3,24,30.4,+,39,51,39,152.72,-13.63,84,731,1.34,0.16,1.36,0.16,15.9,0.69,c,1,II,5,Compan. at 3.0 S
732,427,--,--,3,27,54.0,+,36,38,20,3,24,41.5,+,36,27,58,154.78,-16.38,85,732,0.78,0.11,0.68,0.11,16.9,1.25,c,0,III,1,--
733,325,E,--,3,28,2.6,-,28,15,14,3,25,57.2,-,28,25,35,224.1,-55.47,78,733,0.8,0.09,0.86,0.11,16.7,0.03,cd,0,II,1,--
734,430,--,12946,3,28,46.7,+,36,33,23,3,25,34.1,+,36,23,3,154.98,-16.34,158,734,1.79,0.2,1.66,0.22,15.5,1.21,bc,0,II,3,Dust lane. Compan.at 1.5 E
735,327,E,12986,3,29,38.2,-,23,21,0,3,27,27.3,-,23,31,15,215.86,-54.17,48,735,1.27,0.17,1.02,0.19,15.8,0.12,dm,1,I,1,Knots
--,328,E,--,3,29,49.5,-,28,50,56,3,27,44.9,-,29,1,11,225.23,-55.15,73,--,0.54,0.07,0.58,0.09,17.3,0.04,c,0,II,3,--
736,329,E,--,3,31,24.3,-,20,10,6,3,29,10.1,-,20,20,15,210.93,-52.87,110,736,0.82,0.09,0.79,0.1,16.9,0.13,b,0,II,0,Bright buldge
737,431,--,--,3,31,27.8,+,39,29,53,3,28,10.6,+,39,19,42,153.63,-13.65,20,737,0.86,0.12,0.78,0.13,16.5,0.77,c,1,II,4,Companion at 2.5 E
738,432,--,--,3,31,59.8,+,14,46,52,3,29,12.1,+,14,36,44,170.79,-32.79,89,738,0.76,0.09,0.9,0.11,16.9,1.56,cd,0,III,0,--
739,331,E,--,3,32,4.1,-,53,13,14,3,30,41.8,-,53,23,20,265.48,-50.58,99,739,0.82,0.09,0.73,0.09,17.0,0.09,bc,0,III,1,--
740,332,E,13120,3,32,13.2,-,52,27,25,3,30,49.0,-,52,37,30,264.38,-50.88,33,740,0.8,0.1,0.82,0.11,16.7,0.07,bc,0,II,3,--
741,330,E,--,3,32,27.1,-,25,10,30,3,30,18.5,-,25,20,35,219.14,-53.97,125,741,1.16,0.09,0.78,0.11,16.9,0.08,bc,0,III,0,Sharp nucl. and v.thin arms
742,336,E,--,3,32,31.7,-,69,58,8,3,32,25.2,-,70,8,10,285.77,-41.38,57,742,0.73,0.07,0.75,0.09,17.2,0.14,c,0,III,0,V. good representative
743,339,E,--,3,32,42.0,-,75,37,28,3,33,38.6,-,75,47,27,291.23,-37.6,77,743,1.45,0.16,1.45,0.13,16.0,0.53,bc,0,III,1,Dust lane
744,433,--,13160,3,32,59.2,+,15,52,31,3,30,10.4,+,15,42,27,170.11,-31.82,158,744,1.46,0.1,1.25,0.1,16.4,0.96,cd,0,III,0,--
745,333,E,13154,3,33,2.2,-,24,7,58,3,30,52.4,-,24,18,2,217.47,-53.61,79,745,1.36,0.16,2.13,0.33,15.4,0.1,cd,0,I,0,--
746,434,--,--,3,33,46.1,-,9,49,35,3,31,21.7,-,9,59,37,196.48,-48.06,29,746,1.25,0.11,1.12,0.12,16.6,0.16,d,0,IV,0,--
747,337,E,--,3,33,50.1,-,60,39,44,3,32,52.0,-,60,49,42,275.19,-46.77,169,747,0.73,0.09,0.67,0.1,17.1,0.14,c,0,III,0,--
748,338,E,--,3,34,5.8,-,60,59,41,3,33,9.1,-,61,9,39,275.57,-46.56,67,748,0.73,0.09,0.75,0.1,17.0,0.13,c,0,III,0,--
749,335,E,--,3,34,17.5,-,36,59,47,3,32,24.3,-,37,9,46,239.41,-54.41,1,749,0.65,0.07,0.66,0.09,17.2,0.04,c,0,II,2,--
750,334,E,13222,3,34,19.7,-,26,53,17,3,32,13.2,-,27,3,16,222.13,-53.88,77,750,1.18,0.16,0.97,0.13,16.1,0.04,bc,0,II,0,--
751,435,--,--,3,34,37.4,+,12,3,54,3,31,52.3,+,11,53,55,173.6,-34.3,67,751,1.21,0.16,1.32,0.15,16.2,2.18,c,0,IV,1,Curved at O print
752,436,--,--,3,34,48.7,+,15,8,31,3,32,0.5,+,14,58,33,171.08,-32.06,169,752,1.03,0.1,0.76,0.1,16.8,1.49,d,0,III,3,--
753,346,E,13254,3,34,55.8,-,82,57,4,3,39,46.3,-,83,6,48,297.48,-32.35,164,753,1.45,0.16,1.36,0.19,15.9,0.35,bc,0,II,1,Wavy
--,341,E,--,3,36,4.6,-,64,15,40,3,35,23.3,-,64,25,30,279.28,-44.57,99,--,0.57,0.07,0.67,0.09,17.3,0.35,c,0,III,1,Round contrast nucleus
754,340,E,13307,3,36,19.2,-,55,19,42,3,35,3.8,-,55,29,32,268.01,-49.1,17,754,0.95,0.09,0.98,0.11,16.8,0.07,c,0,III,4,Diffuse. Knots
--,342,E,--,3,36,51.1,-,65,8,0,3,36,14.6,-,65,17,47,280.21,-44.0,37,--,0.54,0.07,0.58,0.09,17.4,0.47,c,0,III,0,--
755,437,--,13410,3,38,20.2,+,41,17,35,3,34,59.0,+,41,7,48,153.61,-11.43,106,755,1.34,0.19,1.25,0.22,15.8,1.12,bc,0,II,3,--
756,438,--,--,3,38,50.5,-,4,47,34,3,36,21.4,-,4,57,17,191.27,-44.32,65,756,1.15,0.11,1.1,0.12,16.3,0.22,cd,0,II,0,--
757,439,--,--,3,39,28.3,+,13,23,35,3,36,41.7,+,13,13,53,173.48,-32.53,2,757,1.1,0.12,1.12,0.12,16.4,1.63,cd,0,III,0,--
758,440,--,13479,3,39,42.2,-,14,34,8,3,37,22.7,-,14,43,49,203.84,-48.95,151,758,1.67,0.18,1.59,0.19,15.6,0.21,cd,0,II,1,--
759,343,E,--,3,39,55.2,-,52,35,4,3,38,33.0,-,52,44,42,263.83,-49.75,159,759,0.61,0.07,0.5,0.07,17.4,0.06,bc,0,II,3,--
760,441,--,--,3,40,29.8,+,0,52,21,3,37,55.2,+,0,42,43,185.37,-40.66,4,760,0.92,0.13,0.76,0.13,16.6,0.4,cd,1,III,1,"Seeing on O print is 4"""
761,442,--,--,3,40,34.8,+,3,32,13,3,37,57.7,+,3,22,35,182.68,-38.98,136,761,0.9,0.11,0.69,0.12,16.9,0.67,dm,1,IV,0,--
762,443,--,--,3,41,1.4,+,13,34,17,3,38,14.5,+,13,24,41,173.65,-32.13,4,762,1.4,0.16,1.2,0.19,16.2,1.55,cd,0,IV,2,--
763,344,E,--,3,41,17.0,-,39,16,42,3,39,28.2,-,39,26,16,243.04,-52.84,103,763,0.74,0.06,0.48,0.07,17.5,0.06,c,0,II,4,Slightly curved fluffy ends
764,345,E,--,3,41,33.6,-,34,17,20,3,39,37.3,-,34,26,53,234.77,-53.01,79,764,0.69,0.07,0.67,0.07,17.2,0.03,c,0,II,2,--
765,444,--,13572,3,41,35.8,+,16,1,13,3,38,46.4,+,15,51,39,171.75,-30.29,8,765,1.46,0.18,1.59,0.24,15.8,1.28,b,1,III,1,--
766,445,--,13646,3,42,55.9,-,12,54,58,3,40,34.8,-,13,4,26,202.11,-47.53,34,766,3.42,0.32,3.23,0.35,14.5,0.33,c,0,II,0,Eccentric dust lane
767,350,E,--,3,43,15.3,-,75,28,16,3,44,16.4,-,75,37,37,290.54,-37.22,18,767,0.63,0.07,0.58,0.09,17.4,0.59,c,0,III,1,In cluster
768,347,E,13690,3,43,40.6,-,19,37,43,3,41,26.6,-,19,47,9,211.61,-49.96,41,768,1.32,0.1,1.26,0.11,16.3,0.26,c,1,II,1,Curved ends. A star beside
--,348,E,--,3,44,50.5,-,46,44,43,3,43,15.8,-,46,54,3,254.76,-50.86,147,--,0.57,0.08,0.58,0.09,17.2,0.03,bc,0,II,0,--
769,446,--,13744,3,44,55.9,+,5,54,18,3,42,16.5,+,5,44,56,181.27,-36.63,119,769,1.81,0.13,1.68,0.16,16.0,1.09,d,0,III,0,--
770,447,--,13747,3,45,0.2,-,4,12,17,3,42,30.6,-,4,21,39,191.77,-42.72,47,770,1.57,0.21,1.23,0.21,15.6,0.36,c,1,II,3,--
771,448,--,--,3,45,1.2,-,4,16,39,3,42,31.6,-,4,26,0,191.86,-42.76,17,771,0.97,0.12,0.92,0.12,16.2,0.33,dm,2,I,1,--
772,449,--,--,3,45,25.0,-,13,20,6,3,43,4.4,-,13,29,26,203.06,-47.17,40,772,0.88,0.08,0.84,0.09,17.1,0.3,d,0,IV,1,--
773,352,E,--,3,45,27.6,-,60,56,38,3,44,34.2,-,61,5,55,274.49,-45.41,174,773,0.9,0.1,0.82,0.1,16.6,0.18,cd,0,II,1,--
774,349,E,13787,3,45,48.6,-,41,35,12,3,44,4.2,-,41,44,29,246.61,-51.7,108,774,0.86,0.1,0.66,0.11,16.8,0.05,bc,1,II,4,--
775,351,E,13819,3,46,35.3,-,20,3,58,3,44,21.9,-,20,13,13,212.59,-49.46,156,775,1.04,0.12,0.97,0.12,16.4,0.32,c,0,II,1,In pair ?
776,450,--,--,3,46,35.7,+,3,9,40,3,43,59.0,+,3,0,25,184.27,-38.05,83,776,1.27,0.17,1.06,0.18,16.1,0.95,bc,1,III,0,--
777,451,--,13820,3,46,35.8,-,4,27,14,3,44,6.4,-,4,36,29,192.35,-42.53,26,777,2.82,0.35,2.53,0.38,14.6,0.31,c,0,II,2,--
778,452,--,13831,3,46,55.2,-,11,48,22,3,44,33.2,-,11,57,36,201.3,-46.16,53,778,1.37,0.13,1.32,0.15,16.2,0.25,cd,1,III,2,Compan.at N end.Interact.?
779,453,--,--,3,47,18.2,-,14,41,51,3,44,59.1,-,14,51,3,205.16,-47.33,136,779,1.2,0.15,1.2,0.17,16.1,0.24,dm,1,III,0,--
--,353,E,--,3,47,44.2,-,66,24,26,3,47,19.1,-,66,33,33,280.8,-42.36,44,--,0.56,0.07,0.48,0.08,17.6,0.3,c,0,III,3,In cluster
780,454,--,13884,3,48,32.8,+,35,9,1,3,45,19.8,+,34,59,52,159.15,-14.98,139,780,1.34,0.19,1.33,0.21,15.7,1.07,bc,0,II,0,--
781,355,E,--,3,49,9.1,-,72,19,17,3,49,32.6,-,72,28,18,287.09,-38.86,89,781,0.68,0.08,0.56,0.1,17.4,0.27,c,0,IV,0,--
782,455,--,--,3,49,14.9,+,16,5,6,3,46,25.1,+,15,56,0,173.2,-28.95,42,782,0.78,0.11,0.84,0.11,16.9,1.85,cd,1,IV,0,--
783,354,E,13939,3,50,9.1,-,34,45,18,3,48,14.5,-,34,54,20,235.57,-51.25,125,783,1.41,0.16,1.18,0.11,15.9,0.03,c,0,II,0,Very diffuse disk
--,356,E,--,3,51,40.6,-,32,33,32,3,49,43.0,-,32,42,28,232.11,-50.83,170,--,0.56,0.07,0.5,0.08,17.4,0.03,c,0,II,2,--
784,357,E,--,3,52,0.2,-,53,31,0,3,50,43.2,-,53,39,53,264.14,-47.72,158,784,0.68,0.09,0.67,0.1,16.9,0.06,c,0,II,2,In cluster
785,456,--,--,3,52,16.3,+,13,24,18,3,49,29.2,+,13,15,23,176.01,-30.28,119,785,0.93,0.11,0.99,0.17,16.6,1.23,bc,1,III,1,--
786,457,--,14007,3,52,24.0,+,2,21,30,3,49,48.0,+,2,12,36,186.19,-37.4,16,786,1.2,0.12,1.29,0.16,16.3,1.16,c,0,III,0,Slightly curved
--,358,E,--,3,54,6.5,-,40,56,6,3,52,22.2,-,41,4,53,245.29,-50.23,59,--,0.47,0.05,0.47,0.06,17.9,0.04,d,0,III,1,Knots
787,458,--,14076,3,54,24.7,+,6,35,23,3,51,44.5,+,6,26,36,182.48,-34.38,103,787,1.53,0.17,1.37,0.18,15.9,1.15,cd,1,III,0,--
788,359,E,14087,3,54,46.1,-,35,49,48,3,52,53.5,-,35,58,32,237.3,-50.33,175,788,0.91,0.1,0.95,0.12,16.6,0.03,b,0,II,2,Dust lane
789,360,E,14156,3,57,11.6,-,22,14,49,3,55,1.4,-,22,23,24,216.87,-47.76,163,789,0.86,0.09,0.73,0.1,16.8,0.17,c,0,II,0,--
790,459,--,--,3,57,27.8,-,3,15,0,3,54,57.4,-,3,23,35,192.98,-39.6,53,790,1.46,0.19,1.4,0.19,15.7,0.9,m,1,III,0,--
--,362,E,--,3,57,45.4,-,40,44,20,3,56,1.2,-,40,52,53,244.89,-49.56,24,--,0.56,0.07,0.58,0.09,17.3,0.03,bc,0,II,4,Slightly diffuse
791,361,E,--,3,58,3.4,-,22,20,49,3,55,53.3,-,22,29,22,217.09,-47.59,61,791,0.61,0.07,0.64,0.09,17.2,0.19,c,0,II,0,F. ends
792,364,E,--,3,58,8.9,-,62,53,53,3,57,27.9,-,63,2,22,275.91,-43.17,6,792,0.65,0.09,0.67,0.11,16.9,0.17,d,0,II,2,--
793,460,--,14209,3,58,49.9,-,18,52,12,3,56,35.9,-,19,0,42,212.33,-46.34,55,793,1.25,0.1,1.25,0.1,16.5,0.16,cd,1,III,1,Slightly wavy
794,363,E,14212,3,58,56.4,-,45,51,32,3,57,22.1,-,46,0,1,252.6,-48.67,98,794,1.53,0.16,1.4,0.17,15.8,0.03,c,1,II,1,VLSB curv.arms.Inter.w.dw.gal.
795,461,--,14246,3,59,55.2,+,32,36,47,3,56,44.7,+,32,28,20,162.73,-15.33,22,795,1.14,0.13,1.08,0.16,16.3,1.05,d,0,III,0,--
--,365,E,--,4,0,2.6,-,24,36,4,3,57,55.4,-,24,44,29,220.5,-47.74,97,--,0.58,0.08,0.56,0.09,17.2,0.14,c,0,II,3,--
796,366,E,--,4,0,11.3,-,43,42,22,3,58,32.9,-,43,50,45,249.33,-48.79,135,796,0.82,0.07,0.78,0.1,17.2,0.05,b,0,III,1,Very faint ends
797,462,--,--,4,0,39.8,+,34,46,42,3,57,26.0,+,34,38,17,161.33,-13.63,14,797,0.94,0.11,1.01,0.18,16.7,1.14,c,1,IV,3,--
798,463,--,14276,4,0,48.0,+,35,0,43,3,57,33.9,+,34,52,19,161.19,-13.43,63,798,2.55,0.22,2.33,0.25,15.2,0.96,d,1,III,0,--
799,368,E,14279,4,0,54.2,-,67,36,43,4,0,41.7,-,67,45,1,281.26,-40.63,95,799,1.88,0.24,1.94,0.24,15.1,0.21,m,1,II,3,Diffuse
800,464,--,--,4,1,37.7,+,24,49,19,3,58,37.2,+,24,40,59,168.66,-20.72,136,800,0.81,0.11,0.81,0.12,16.7,1.04,cd,1,III,1,In contact w. gal. 0.7x0.5
801,465,--,--,4,1,38.3,+,20,15,48,3,58,43.3,+,20,7,28,172.16,-23.93,11,801,0.73,0.1,0.68,0.11,16.8,1.08,c,2,II,2,--
--,367,E,--,4,2,34.1,-,21,31,19,4,0,23.3,-,21,39,35,216.38,-46.35,138,--,0.56,0.07,0.54,0.08,17.5,0.18,cd,0,III,2,Very faint ends. In cluster
802,369,E,--,4,2,51.1,-,30,55,31,4,0,52.2,-,31,3,45,229.97,-48.3,149,802,0.88,0.08,0.63,0.08,17.0,0.05,c,0,II,2,--
803,371,E,--,4,3,13.4,-,56,22,52,4,2,7.5,-,56,31,3,267.23,-45.22,60,803,0.65,0.09,0.58,0.1,17.0,0.04,cd,0,II,2,--
--,370,E,--,4,3,54.8,-,38,13,15,4,2,7.0,-,38,21,25,240.97,-48.49,139,--,0.57,0.07,0.6,0.1,17.3,0.02,bc,0,II,0,Interacting w. gal. at S end
804,375,E,14469,4,6,36.8,-,57,57,42,4,5,37.2,-,58,5,40,269.08,-44.23,118,804,1.07,0.13,1.16,0.13,16.2,0.1,cd,1,II,1,Slightly curved diffuse ends
805,372,E,--,4,6,46.3,-,32,32,24,4,4,50.1,-,32,40,23,232.51,-47.66,136,805,0.82,0.09,0.73,0.1,16.9,0.04,c,0,II,0,--
806,373,E,--,4,6,52.8,-,38,47,29,4,5,6.4,-,38,55,27,241.81,-47.91,66,806,0.68,0.08,0.58,0.1,17.2,0.03,bc,0,II,5,--
--,374,E,--,4,6,55.4,-,37,39,47,4,5,7.1,-,37,47,45,240.13,-47.9,94,--,0.58,0.08,0.58,0.1,17.2,0.02,c,0,II,0,--
807,377,E,--,4,7,33.0,-,62,3,1,4,6,50.5,-,62,10,54,274.22,-42.56,111,807,0.87,0.1,0.7,0.09,16.7,0.11,cd,0,II,0,Curved diffuse ends.Isolated
808,466,--,14504,4,7,42.6,+,25,46,21,4,4,40.6,+,25,38,24,168.98,-19.08,20,808,1.38,0.15,1.46,0.13,16.0,1.8,cd,1,III,1,--
809,467,--,--,4,7,57.9,+,33,25,58,4,4,45.5,+,33,18,1,163.42,-13.58,124,809,0.97,0.09,0.81,0.09,16.9,1.12,cd,1,III,0,--
--,376,E,--,4,8,3.8,-,42,23,31,4,6,24.0,-,42,31,25,247.14,-47.5,152,--,0.53,0.07,0.58,0.09,17.3,0.05,bc,0,II,2,--
810,468,--,--,4,8,40.8,-,10,40,19,4,6,18.2,-,10,48,12,203.24,-40.89,78,810,0.74,0.09,0.78,0.08,16.8,0.24,dm,1,II,1,--
811,379,E,14557,4,9,0.0,-,48,43,37,4,7,33.7,-,48,51,27,256.3,-46.46,59,811,2.49,0.25,2.37,0.21,14.9,0.06,bc,0,I,0,Slightly curved ends
812,380,E,--,4,9,12.5,-,52,30,43,4,7,55.9,-,52,38,32,261.6,-45.56,31,812,0.73,0.07,0.51,0.09,17.5,0.05,c,0,III,0,Very faint disk
813,378,E,14568,4,9,14.1,-,37,12,0,4,7,25.3,-,37,19,49,239.45,-47.44,55,813,0.92,0.07,0.93,0.09,17.1,0.02,c,0,III,0,--
814,469,--,14600,4,10,33.1,-,7,10,0,4,8,6.9,-,7,17,46,199.49,-38.84,66,814,2.2,0.22,2.04,0.24,15.2,0.44,d,1,II,1,--
815,381,E,14700,4,13,48.5,-,37,31,12,4,12,0.6,-,37,38,44,239.95,-46.54,142,815,0.73,0.09,0.79,0.11,16.8,0.08,c,0,II,0,--
816,382,E,14701,4,13,49.0,-,54,4,8,4,12,37.8,-,54,11,39,263.47,-44.49,82,816,0.98,0.1,0.95,0.11,16.6,0.04,c,0,II,2,Curved ends
817,470,--,--,4,14,1.3,+,26,44,59,4,10,57.6,+,26,37,26,169.28,-17.38,89,817,1.01,0.11,1.14,0.11,16.3,1.45,d,1,II,0,Knotty
--,384,E,--,4,15,20.4,-,46,26,20,4,13,49.7,-,46,33,45,252.8,-45.77,128,--,0.57,0.08,0.61,0.09,17.2,0.05,b,0,II,2,--
818,383,E,--,4,15,43.0,-,22,58,12,4,13,34.7,-,23,5,37,219.58,-43.86,54,818,0.6,0.07,0.52,0.07,17.5,0.16,c,0,III,0,--
819,385,E,14756,4,15,43.5,-,54,0,18,4,14,32.4,-,54,7,41,263.28,-44.23,12,819,1.27,0.13,1.11,0.12,16.2,0.04,c,0,II,0,Very faint ends
820,471,--,--,4,16,55.5,-,7,28,50,4,14,29.7,-,7,36,10,200.81,-37.61,106,820,1.31,0.17,1.21,0.18,16.2,0.55,bc,0,IV,1,Faint curved disk
821,472,--,--,4,17,3.9,-,3,23,7,4,14,33.8,-,3,30,27,196.41,-35.53,143,821,0.64,0.07,0.66,0.08,17.3,0.18,d,0,III,2,--
822,473,--,14804,4,17,20.4,+,2,27,0,4,14,44.1,+,2,19,41,190.55,-32.3,2,822,1.21,0.12,1.12,0.18,16.2,0.78,cd,2,II,3,Interact. w. gal. at 1.0 S
823,386,E,14811,4,17,36.7,-,58,53,17,4,16,42.9,-,59,0,32,269.61,-42.56,20,823,1.18,0.16,1.06,0.13,16.1,0.09,bc,0,II,0,Contrast nucleus
824,387,E,14824,4,17,54.5,-,55,55,55,4,16,50.0,-,56,3,9,265.74,-43.42,19,824,3.26,0.44,2.81,0.44,14.2,0.05,c,0,I,3,Wavy
825,389,E,--,4,18,12.0,-,74,38,42,4,19,19.1,-,74,45,51,288.08,-35.86,17,825,0.63,0.08,0.58,0.09,17.3,0.38,c,0,III,6,Slightly curved. In cluster
826,476,--,--,4,18,30.0,-,14,59,24,4,16,12.4,-,15,6,38,209.73,-40.54,20,826,1.7,0.17,1.57,0.17,15.8,0.19,cd,0,III,1,FGC 477 proj. at upper end
827,477,--,--,4,18,30.8,-,14,58,51,4,16,13.3,-,15,6,5,209.72,-40.53,101,827,0.65,0.06,0.65,0.07,17.4,0.19,d,0,III,1,Superimposed on FGC 476
828,390,E,14838,4,18,38.4,-,73,0,14,4,19,23.1,-,73,7,22,286.29,-36.65,57,828,0.9,0.08,0.89,0.09,16.8,0.44,c,0,II,1,Knots
829,475,--,14845,4,18,47.6,+,3,13,39,4,16,10.5,+,3,6,25,190.04,-31.56,166,829,1.01,0.13,1.12,0.17,16.2,1.0,c,0,II,3,--
830,474,--,14853,4,19,5.9,+,26,10,47,4,16,2.6,+,26,3,34,170.53,-16.95,106,830,1.79,0.25,1.9,0.31,15.4,1.53,bc,0,III,0,--
831,388,E,14867,4,19,22.7,-,26,47,46,4,17,19.5,-,26,54,56,225.02,-44.01,21,831,1.81,0.16,1.55,0.18,15.7,0.15,c,0,II,1,Faint slightly curved ends
832,478,--,--,4,20,13.4,-,6,47,30,4,17,47.0,-,6,54,38,200.55,-36.56,75,832,1.01,0.11,1.02,0.1,16.6,0.35,cd,1,III,2,Compan. at 1.5 SE
833,392,E,14912,4,20,27.9,-,62,11,20,4,19,49.2,-,62,18,23,273.61,-41.11,63,833,0.96,0.13,0.95,0.13,16.4,0.1,bc,0,II,1,--
834,393,E,--,4,21,25.2,-,67,35,10,4,21,19.1,-,67,42,8,280.05,-38.91,116,834,0.73,0.09,0.78,0.11,17.0,0.19,bc,0,III,1,Round nucleus
835,401,E,--,4,21,26.9,-,81,41,13,4,25,53.6,-,81,48,2,295.16,-31.97,35,835,1.08,0.1,0.78,0.09,16.8,0.29,c,0,III,0,Diffuse disk
836,391,E,--,4,21,38.2,-,27,26,58,4,19,36.0,-,27,33,59,226.05,-43.67,111,836,0.73,0.09,0.66,0.11,16.9,0.23,cd,0,II,1,--
837,480,--,--,4,22,44.4,-,7,6,41,4,20,18.3,-,7,13,39,201.27,-36.16,48,837,0.63,0.09,0.78,0.08,16.8,0.26,d,0,II,2,Spiral 0.5 at 3.0NW
838,481,--,--,4,23,10.1,-,7,12,54,4,20,44.1,-,7,19,50,201.44,-36.12,131,838,1.23,0.17,1.31,0.17,15.9,0.26,bc,0,II,3,--
839,479,--,--,4,23,29.0,+,30,53,42,4,20,19.0,+,30,46,46,167.64,-13.02,166,839,0.64,0.09,0.83,0.09,17.0,2.35,dm,0,IV,0,Lost on O pr.in emulsion grain
840,394,E,--,4,23,52.1,-,23,56,2,4,21,45.4,-,24,2,55,221.55,-42.32,178,840,0.65,0.07,0.47,0.09,17.5,0.2,c,0,III,2,--
841,482,--,15031,4,24,13.7,+,30,54,58,4,21,3.6,+,30,48,5,167.74,-12.89,58,841,1.21,0.15,1.24,0.15,16.1,2.38,c,0,III,1,--
842,395,E,15033,4,24,18.3,-,27,56,38,4,22,16.9,-,28,3,29,226.89,-43.19,129,842,1.9,0.16,1.47,0.19,15.7,0.19,cd,0,II,0,Faint second layer
843,396,E,--,4,24,31.0,-,37,49,30,4,22,44.7,-,37,56,19,240.49,-44.43,58,843,0.74,0.08,0.82,0.1,16.9,0.14,c,0,II,3,V.f.diffuse periphery.In group
--,397,E,--,4,24,34.1,-,41,37,30,4,22,54.7,-,41,44,19,245.82,-44.48,42,--,0.57,0.08,0.6,0.09,17.1,0.12,cd,0,II,3,F. slightly curved ends
844,483,--,--,4,25,14.8,+,4,59,3,4,22,35.8,+,4,52,15,189.44,-29.23,138,844,0.99,0.09,1.01,0.1,16.7,1.48,d,1,III,0,--
845,484,--,--,4,25,33.4,-,9,3,1,4,23,9.4,-,9,9,47,203.8,-36.45,43,845,1.1,0.11,1.0,0.12,16.4,0.74,c,0,II,0,--
846,399,E,--,4,26,33.6,-,36,48,58,4,24,45.8,-,36,55,39,239.12,-43.97,171,846,0.95,0.09,0.66,0.1,16.9,0.12,c,0,II,0,Very faint ends
--,398,E,--,4,26,52.3,-,18,24,40,4,24,39.0,-,18,31,20,214.87,-39.94,33,--,0.54,0.07,0.48,0.08,17.6,0.17,c,0,III,0,--
