NGC,Extension,Components,Dreye,NAMEZH,TYPE,CLASS,CONZH,CON,RAJ2000,DECJ2000,RADJ2000,DECDJ2000,VMAG,BMAG,B-V,SB,AX,AY,ANGLE,DESP,DESPS
NGC6851,,,*,,Gxy,E3,ÍûÔ¶¾µ×ù,TEL,20h3m34.3s,20.05952778,-48h17m4s,-48.28444444,11.8,12.7,0.9,13,2,1.5,160,"pretty faint, small, very little extended, pretty suddenly brighter middle","pF, S, vlE, psbM"
NGC6852,,,*,,PN,PN,ÌìÓ¥×ù,AQL,20h0m39.2s,20.01088889,+1h43m43s,1.728611111,12.6,12.8,,,0.47,,,"a faint nebula, among stars","F neb, am st"
NGC6853,,,*,ÑÆÁåÐÇÔÆ,PN,PN,ºüÀê×ù,VUL,19h59m36.3s,19.99341667,+22h43m18s,22.72166667,7.4,7.6,,,6.7,,,"a magnificent or otherwise interesting object, very bright, very large, binuclear, irregularly extended (Dumbbell)","!!!, vB, vL, biN, iE (Dumbbell)"
NGC6854,,,*,,Gxy,E/SB0,ÍûÔ¶¾µ×ù,TEL,20h5m38.6s,20.09405556,-54h22m30s,-54.375,12.2,13.2,1,13.1,2,1.3,166,"faint, small, very little extended, gradually a little brighter middle","F, S, vlE, glbM"
NGC6855,,,*,,Gxy,SB0-a,ÍûÔ¶¾µ×ù,TEL,20h6m49.7s,20.11380556,-56h23m23s,-56.38972222,12.9,13.8,0.9,13.5,1.5,1.3,113,"pretty faint, small, round","pF, S, R"
NGC6856,,,*,,Star(s),*Grp,Ìì¶ì×ù,CYG,19h59m17.1s,19.98808333,+56h7m53s,56.13138889,,,,,3,,,"a cluster, pretty small, pretty much compressed, irregularly round, stars from 12th to 16th magnitude","Cl, pS, pmC, iR, st 12¡­16"
NGC6857,,,*,,Nb,EN,Ìì¶ì×ù,CYG,20h1m48s,20.03,+33h31m30s,33.525,,11.4,,,0.63,,,"faint, among Milky Way stars","F, am Milky Way st"
NGC6858,,,*,,Star(s),*Grp,ÌìÓ¥×ù,AQL,20h3m0s,20.05,+11h15m36s,11.26,,,,,5,,,"a cluster, considerably large, extended, pretty rich, stars from 13th magnitude","Cl, cL, E, pRi, st 13¡­"
NGC6859,,,*,,Star(s),*3,ÌìÓ¥×ù,AQL,20h3m49.5s,20.06375,+0h26m40s,0.444444444,,,,,,,,"a very small cluster, 10th magnitude star 1 second of time to west, 1' 29","vS Cl, * 10 p 1s, s 1' 29"" (Auw 46)"
NGC6860,,,*,,Gxy,Sb,¿×È¸×ù,PAV,20h8m47.1s,20.14641667,-61h5m59s,-61.09972222,12.6,13.4,0.8,12.5,1.3,0.8,34,"faint, pretty small, gradually brighter middle","F, pS, gbM"
NGC6861,,,*,,Gxy,E-S0,ÍûÔ¶¾µ×ù,TEL,20h7m19.4s,20.12205556,-48h22m10s,-48.36944444,11.1,12.1,1,12.8,3,2,140,"bright, small, considerably extended, gradually pretty much brighter middle","B, S, cE, gpmbM"
NGC6862,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h8m54.5s,20.14847222,-56h23m30s,-56.39166667,12.7,13.4,0.7,13.2,1.6,1.3,149,"faint, small, a little extended, gradually a little brighter middle","F, S, lE, glbM"
NGC6863,,,*,,Star(s),*Grp,ÌìÓ¥×ù,AQL,20h5m7.3s,20.08536111,-3h33m13s,-3.553611111,,,,,,,,"a cluster, small, very much compressed, stars of 19th magnitude","Cl, S, vmC, st 19"
NGC6864,,,*,,GCL,I,ÈËÂí×ù,SGR,20h6m4.8s,20.10133333,-21h55m15s,-21.92083333,8.6,,,,6.8,,,"a globular cluster, bright, pretty large, round, very much brighter middle and bright nucleus, partially resolved (some stars seen)","globular, B, pL, R, vmbMBN, rr"
NGC6865,,,*,,Gxy,S0,ÌìÓ¥×ù,AQL,20h5m56.4s,20.099,-9h2m26s,-9.040555556,15,16,1,14.1,0.8,0.6,130,"faint, small, extended","F, S, E"
NGC6866,,,*,·çóÝÐÇÍÅ,OCL,II2m,Ìì¶ì×ù,CYG,20h3m55.1s,20.06530556,+44h9m33s,44.15916667,7.6,8,,,7,,,"a cluster, large, very rich, considerably compressed","Cl, L, vRi, cC"
NGC6867,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h10m30s,20.175,-54h47m3s,-54.78416667,13.1,13.9,0.8,13.3,2,0.7,156,"most extremely faint, large, pretty much extended","eeF, L, pmE"
NGC6868,,,*,,Gxy,E2,ÍûÔ¶¾µ×ù,TEL,20h9m54s,20.165,-48h22m48s,-48.38,10.7,11.7,1,13.1,3.6,2.8,86,"very bright, small, round, pretty gradually very much brighter middle","vB, S, R, pgvmbM"
NGC6869,,,*,,Gxy,S0,ÌìÁú×ù,DRA,20h0m42.3s,20.01175,+66h13m41s,66.22805556,12,13.1,1.1,12.7,1.6,1.3,90,"pretty bright, pretty small, round","pB, pS, R"
NGC6870,,,*,,Gxy,Sab,ÍûÔ¶¾µ×ù,TEL,20h10m10.4s,20.16955556,-48h17m12s,-48.28666667,12.3,13.2,0.9,13.4,2.6,1.3,85,"considerably faint, considerably small, extended 90¡ã, gradually brighter middle","cF, cS, E 90¡ã, gbM"
NGC6871,,,*,,OCL,IV3p,Ìì¶ì×ù,CYG,20h6m27s,20.1075,+35h47m24s,35.79,5.2,,,,30,,,"a cluster, stars large and small, double star involved","Cl, st L and S, ** inv"
NGC6872,,,*,ÍºÓ¥ÐÇÏµ,Gxy,SBb/P,¿×È¸×ù,PAV,20h16m57s,20.2825,-70h46m4s,-70.76777778,11.8,12.7,0.9,14.2,6,1.5,66,"faint, pretty small, a little extended, gradually a little brighter middle, 9th magnitude star 10.5 seconds of time to west, 1st of 4","F, pS, lE, glbM, * 9 p 10s.5, 1st of 4"
NGC6873,,,*,,Star(s),*Grp,Ìì¼ý×ù,SGE,20h7m13s,20.12027778,+21h6m8s,21.10222222,,,,,14,,,"a cluster, a little compressed, stars from 10th to 13th magnitude, double star involved","Cl, lC, st 10¡­13, ** inv"
NGC6874,,,*,,OCL,IV1m,Ìì¶ì×ù,CYG,20h7m48s,20.13,+38h14m0s,38.23333333,,,,,7,,,"a cluster, poor, a little compressed","Cl, P, lC"
NGC6875,,,*,,Gxy,E/SB0,ÍûÔ¶¾µ×ù,TEL,20h13m12.3s,20.22008333,-46h9m41s,-46.16138889,12.1,13,0.9,13.1,2.4,1.4,22,"faint, very small, round, very gradually much brighter middle, 7th magnitude star to northeast","F, vS, R, vgmbM, * 7 nf"
NGC6876,,,*,,Gxy,E3,¿×È¸×ù,PAV,20h18m19.1s,20.30530556,-70h51m30s,-70.85833333,11.3,12.1,0.8,13.2,2.7,2.4,80,"pretty bright, small, round, extremely small (faint) star to southeast, 2nd of 4","pB, S, R, eS * sf, 2nd of 4"
NGC6877,,,*,,Gxy,E6,¿×È¸×ù,PAV,20h18m35.9s,20.30997222,-70h51m10s,-70.85277778,12.2,13.2,1,12.6,1.1,0.6,169,"very faint, very small, round, 3rd of 4","vF, vS, R, 3rd of 4"
NGC6878,,,*,,Gxy,SBb,ÈËÂí×ù,SGR,20h13m53.2s,20.23144444,-44h31m36s,-44.52666667,12.7,13.5,0.8,13.3,1.6,1.3,111,"very faint, pretty large, round, gradually a little brighter middle","vF, pL, R, glbM"
NGC6879,,,*,,PN,PN,Ìì¼ý×ù,SGE,20h10m26.6s,20.17405556,+16h55m25s,16.92361111,12.5,13,,,0.15,,,"a planetary nebula, stellar, equivalent to 10th-magnitude star","planetary, stellar = 10m"
NGC6880,,,*,,Gxy,SB0-a,¿×È¸×ù,PAV,20h19m29.6s,20.32488889,-70h51m34s,-70.85944444,12.1,13,0.9,12.6,2,0.9,35,"faint, small, round, mottled but not resolved, very small (faint) star attached, 4th of 4","F, S, R, r, vS * att, 4th of 4"
NGC6881,,,*,,PN,PN,Ìì¶ì×ù,CYG,20h10m52.5s,20.18125,+37h24m44s,37.41222222,13.9,14.3,,,0.27,,,"a planetary nebula, stellar","planetary, stellar"
NGC6882,,,*,,Dup,III2p,ºüÀê×ù,VUL,20h11m58s,20.19944444,+26h29m0s,26.48333333,8.1,,,,20,,,"a cluster, poor, a little compressed","Cl, P, lC"
NGC6883,,,*,,OCL,I3p,Ìì¶ì×ù,CYG,20h11m18s,20.18833333,+35h51m0s,35.85,8,,,,35,,,"a cluster, pretty rich, double star involved","Cl, pRi, ** inv"
NGC6884,,,*,,Dup,PN,Ìì¶ì×ù,CYG,20h10m23.7s,20.17325,+46h27m42s,46.46166667,10.9,12.6,,,0.25,,,"a planetary nebula, stellar","planetary, stellar"
NGC6885,,,*,ºüÀê×ù20ÐÇÍÅ,OCL,III2p,ºüÀê×ù,VUL,20h11m58s,20.19944444,+26h29m0s,26.48333333,8.1,,,,20,,,"a cluster, poor, a little compressed","Cl, vB, vL, Ri, lC, st 6¡­11"
NGC6886,,,*,,PN,PN,Ìì¼ý×ù,SGE,20h12m42.8s,20.21188889,+19h59m24s,19.99,11.4,12.2,,,0.17,,,"a planetary nebula, stellar, equivalent to 10th magnitude","planetary, stellar = 10 m"
NGC6887,,,*,,Gxy,Sbc,ÍûÔ¶¾µ×ù,TEL,20h17m17s,20.28805556,-52h47m50s,-52.79722222,12.1,12.8,0.7,13.6,3.2,1.3,102,"pretty faint, considerably large, pretty much extended, gradually a little brighter middle","pF, cL, pmE, glbM"
NGC6888,,,*,Ã¼ÔÂÐÇÔÆ,Nb,EN,Ìì¶ì×ù,CYG,20h12m6.5s,20.20180556,+38h21m18s,38.355,,10,,,18,13,,"faint, very large, very much extended, double star attached","F, vL, vmE, ** att"
NGC6889,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h18m53.3s,20.31480556,-53h57m24s,-53.95666667,12.9,13.7,0.8,12.2,0.9,0.7,63,"very faint, large, a little extended","vF, L, lE"
NGC6890,,,*,,Gxy,SBb,ÈËÂí×ù,SGR,20h18m18s,20.305,-44h48m23s,-44.80638889,12.3,13,0.7,12.8,1.6,1.3,152,"pretty faint, small, round, very gradually a little brighter middle","pF, S, R, vglbM"
NGC6891,,,*,,PN,PN,º£ëà×ù,DEL,20h15m8.9s,20.25247222,+12h42m17s,12.70472222,10.5,11.7,,,0.35,,,"a planetary nebula, stellar, equivalent to 9.5 magnitude","planetary, stellar = 9.5 m"
NGC6892,,,*,,Star(s),*4,Ìì¼ý×ù,SGE,20h16m57.1s,20.28252778,+18h1m12s,18.02,,,,,,,,an extremely faint nebulous star (perhaps an extremely small cluster?),eF neb * (? eS Cl)
NGC6893,,,*,,Gxy,SB0,ÍûÔ¶¾µ×ù,TEL,20h20m49.6s,20.34711111,-48h14m22s,-48.23944444,11.8,12.8,1,13.3,2.6,1.7,10,"pretty faint, small, round, suddenly very bright middle equivalent to 12th magnitude star","pF, S, R, svbM * 12"
NGC6894,,,*,Ð¡Ö¸»·ÐÇÔÆ,PN,PN,Ìì¶ì×ù,CYG,20h16m24s,20.27333333,+30h33m57s,30.56583333,12.3,14.4,,,0.92,,,"a very remarkable object, an annular nebula, faint, small, very very little extended","!!, Ring, F, S, vvlE"
NGC6895,,,*,,Star(s),*Grp,Ìì¶ì×ù,CYG,20h16m32s,20.27555556,+50h14m24s,50.24,,,,,15,,,"a cluster, pretty rich, a little compressed","Cl, pRi, lC"
NGC6896,,,*,,Star(s),*2,Ìì¶ì×ù,CYG,20h18m3.6s,20.301,+30h38m26s,30.64055556,,,,,,,,"a cluster (plus a nebula), small, stars very small (faint)","Cl (+ neb ?), S, st vS"
NGC6897,,,*,,Gxy,Sbc,Ä¦ôÉ×ù,CAP,20h21m1.3s,20.35036111,-12h15m18s,-12.255,13.8,14.6,0.8,12.7,0.9,0.5,35,"very faint, small","vF, S"
NGC6898,,,*,,Gxy,Sa,Ä¦ôÉ×ù,CAP,20h21m8s,20.35222222,-12h21m32s,-12.35888889,13.1,14,0.9,12.7,1.2,0.7,140,"faint, small, irregularly round","F, S, iR"
NGC6899,,,*,,Gxy,SBbc,ÍûÔ¶¾µ×ù,TEL,20h24m22.3s,20.40619444,-50h26m1s,-50.43361111,12.8,13.4,0.6,13.2,1.7,1,112,"faint, small, round, gradually a little brighter middle, among stars","F, S, R, glbM, am st"
NGC6900,,,*,,Gxy,Sb,ÌìÓ¥×ù,AQL,20h21m35.1s,20.35975,-2h34m11s,-2.569722222,13.5,14.3,0.8,13.1,1,0.8,178,"very faint, small, round","vF, S, R"
NGC6901,,,*,,Gxy,SBab,ÌìÓ¥×ù,AQL,20h22m21.6s,20.37266667,+6h25m47s,6.429722222,13.7,14.5,0.8,13.1,1.4,0.5,63,extremely faint,eF
NGC6902,,,*,,Gxy,SBa,ÈËÂí×ù,SGR,20h24m27.9s,20.40775,-43h39m11s,-43.65305556,10.9,11.6,0.7,14.1,5.6,3.9,153,"faint, considerably small, round, brighter middle","F, cS, R, bM"
NGC6903,,,*,,Gxy,E/SB0,Ä¦ôÉ×ù,CAP,20h23m44.9s,20.39580556,-19h19m33s,-19.32583333,11.9,12.9,1,12.9,1.5,1.5,,"considerably large, extended, brighter middle equivalent to 17th magnitude star, 10th magnitude star attached on north","cL, E, bM * 17, * 10 att n"
NGC6904,,,*,,Star(s),*Grp,ºüÀê×ù,VUL,20h21m48.3s,20.36341667,+25h44m22s,25.73944444,,,,,3,,,"a cluster, small, very little compressed, stars from 10th to 11th magnitude","Cl, S, vlC, st 10¡­11"
NGC6905,,,*,À¶ÉÁÐÇÔÆ,PN,PN,º£ëà×ù,DEL,20h22m23s,20.37305556,+20h6m18s,20.105,11.1,11.9,,,1.2,,,"a very remarkable object, a planetary nebula, bright, pretty small, round, 4 small (faint) stars near","!!, planetary, B, pS, R, 4 S st nr"
NGC6906,,,*,,Gxy,SBbc,ÌìÓ¥×ù,AQL,20h23m34s,20.39277778,+6h26m40s,6.444444444,12.3,13.2,0.9,12.4,1.6,0.8,36,"pretty faint, pretty large, round","pF, pL, R"
NGC6907,,,*,¾ÞÊÞÐÇÏµ,Gxy,SBbc,Ä¦ôÉ×ù,CAP,20h25m6.6s,20.4185,-24h48m33s,-24.80916667,11.2,11.9,0.7,13.4,3.4,2.6,46,"considerably faint, considerably large, very little extended, very gradually a little brighter middle, mottled but not resolved, 3 stars preceding (to the west)","cF, cL, vlE, vglbM, r, 3 st p"
NGC6908,,,*,,Gxy,S0,Ä¦ôÉ×ù,CAP,20h25m9s,20.41916667,-24h48m10s,-24.80277778,14.6,15.5,0.9,10.6,0.3,0.1,0,"extremely faint, very small, a little extended, h 2076 preceding (to the west)","eF, vS, lE, h 2076 p"
NGC6909,,,*,,Gxy,E5,ÍûÔ¶¾µ×ù,TEL,20h27m38.8s,20.46077778,-47h1m38s,-47.02722222,11.7,12.6,0.9,12.6,2.2,1.1,68,"pretty bright, pretty large, gradually brighter middle, 2 stars of 10th magnitude near","pB, pL, gbM, 2 st 10 nr"
NGC6910,,,*,³ßó¶ÐÇÍÅ,OCL,I2p,Ìì¶ì×ù,CYG,20h23m12s,20.38666667,+40h46m43s,40.77861111,7.4,,,,10,,,"a cluster, pretty bright, pretty small, poor, pretty compressed, stars of 10th to 12th magnitude","Cl, pB, pS, P, pC, st 10¡­12"
NGC6911,,,*,,Gxy,SBb,ÌìÁú×ù,DRA,20h19m38.3s,20.32730556,+66h43m44s,66.72888889,14.3,15.1,0.8,15,1.7,1.1,115,"extremely faint, large, a little brighter middle, pretty bright star near","eF, L, lbM, pB * nr"
NGC6912,,,*,,Gxy,SBc,Ä¦ôÉ×ù,CAP,20h26m52.1s,20.44780556,-18h37m3s,-18.6175,13.2,13.8,0.6,13.5,1.4,1.1,55,"very faint, 2 stars of 14th or 15th magnitude to northwest, 8th magnitude star to east","vF, 2 st 14¡¤15 np, * 8 f"
NGC6913,,,*,ÀäÈ´ËþÐÇÍÅ,OCL,III3p,Ìì¶ì×ù,CYG,20h24m6s,20.40166667,+38h29m36s,38.49333333,6.6,,,,10,,,"a cluster, poor, a little compressed, stars large and small (meaning bright and faint)","Cl, P, lC, st L and S"
