Ced,Note
183,"438, 482, 486, 524, 526, 542. 578, 615 Pl 24, 620, 625, 626, 630 Pl 17 Pl"
183,"18, 631, 715, 717, 720, 781, 794, 801, 803, 819, 820, 824). R. Bergedorf"
183,spectral DM Area 40 is situated in this region.
183,{alf} Cygni = +44 3541 = HD 197345 = Boss 28846.
184,+56 2495 = HD 198793 = Boss 29082 nebulous. Source: (93) Pl 47. (715).
185,"IC 5076. Disc. Roberts 1895 (607). (93 Pl 45 131 48, 603 Pl 23, 610)."
185,R. +46 3111 = HD 199478 = Boss 29219.
186,"NGC 7008 = GC 4627 = h 2099 = H I 192. Disc. 1787. WP 156. (103, 114, 174,"
186,"208, 216, 481, 520, 549, 578, 603 Pl 46, 631). R. Although Curtis (208)"
186,"descibes this object as quite irregular, it has also been classified as a"
186,planetary.
187,"NGC 7023 = GC 4634 = H IV 74. Disc. 1792. (114, 196, 216, 294, 337, 366,"
187,"409 Pl 65, 410, 411, 482, 486, 547, 549, 550, 578, 615 Pl 24, 630 Pl 22,"
187,"691, 715, 813, 820, 821). R. +67-1283 = HD 200775 = Boss 29401."
188,IC 1363. Disc. Espin 1893 (253). R. Not identified.
189,"IC 1369. Disc. Pechule 1891 (552). (194, 253)."
190,The nebula around +59 2334 = 202214 = Boss 29655. Source: (93) Pl 47 Pl 49.
190,(630 Pl 19).
191,"+57 2309 = HD 203025 = Boss 29804 nebulous. Source: (88) Pl 82. (92, 93 Pl"
191,"47, Pl 49, 366, 630 Pl 19, 715)."
192,IC 1378. Disc. Espin 1893 (253). R. Not identified.
193,"NGC 7088 = Baxendell's ""unphotographable"" nebula. Disc. Baxendell 1880"
193,"(96). (114, 180, 304, 314, 465, 595)."
194,"+67 1332 = HD 206135 nebulous. Source: (88) Pl 83. (366, 482, 486, 630 Pl"
194,"21 Pl 22, 715)."
195,"The region of IC 1396, Disc. Barnard 1894 (54). (79, 93 Pl 49, 482, 486,"
195,"717, 726 No 22). R. In the catalogue the divisions a and b refer to the"
195,"stimulating regions of respective +56 2617 = HD 206267 = Boss 30322, and"
195,+57 2374 = HD 206773 = Boss 30408.
196,"NGC 7129 = GC 4702 = h 2131 = H IV 75. Disc. 1792. (114, 194, 196, 208,"
196,"216, 217, 304, 366, 486, 549, 578, 608, 615 Pl 9, 631). R. The cluster"
196,"contains the BD stars: +65 1631, 1633, 1635-1638, which are not in the"
196,HD catalogue. NGC 7133 is probably a part of this nebula.
196,Alternative Class: A. 1.
197,IC 1400. Disc. Espin 1893 (253). (93) Pl 48.
198,IC 5146. Discovery announced by Espin in 1894 (253). The nebula was
198,"photographed by Barnard in 1893, and by Wolf in 1894. Compare (88) P1 81,"
198,"and (807). WP 139. (79, 194, 196, 213, 215, 216, 266, 366, 419, 486,"
198,"550, 630 Pl 19. 715)."
199,Emission field (726) No 19. R. +58 2402 = HD 210839 = {lam} Cephei. (725).
200,Emission field (726) No 17. (725).
201,"The nebula around +69 1231. Disc. Kopff 1908 (816). (820, 821)."
202,IC 1442. Disc. Espin 1893 (253). R. Not identified.
203,"Emission field (726) No 16. (93 Pl 50, 540, 725). R. According to (540)"
203,the nebula does not condense around any of the stars in the region.
204,Emission field (726) No 30.
205,Emission field (726) No 18. (725).
206,The region of NGC 7380 = GC 4842 = h 2182 = H VIII 77. Disc. 1788. (88 Pl
206,"84, 93 Pl 50, 114, 194, 549, 578, 631, 726 No 21, 753, 821). R. Earlier"
206,observers than Reinmuth seem to have perceived only the cluster.
206,Alternative Class: A. 1.
207,Emission field (726) No 32. R. The whole region is filled up by faint
207,"nebulosity on (630) Pl 19. Two of Wolf's ""Cavenebulae"" (821) form parts of"
207,this region. They are attributed (by Wolf) to the stars +61 2361 =
207,"HD 216629, and +61 2372 = HD 217061, both of spectral class B."
207,+61 2373 = HD 217086.
208,"IC 1470. Disc. Barnard, Pechule, Spitaler 1892.(50, 103, 106, 217, 364,"
208,"550, 551, 761, 762). R. Has also been classified as a planetary."
209,"NGC 7538 = GC 4907 = H II 706. Disc. 1787. (114, 578, 631, 821)."
210,"NGC 7635 = GC 4947 = h 2235 = H IV 52. Disc. 1787. (88 Pl 86, 103, 114,"
210,"364, 366, 482, 486, 578, 630 Pl 20 Pl 24, 715, 761, 762, 821). R. Has"
210,also been classified as a planetary.
211,-16 6352 = HD 222800 = Boss 32948 = R Aquarii nebulous. Disc. Lampland
211,"1921 (456). (457, 486)."
212,"NGC 7748 = GC 5008 = h 2266. (114, 209, 216, 578). R."
212,"+68 1393 = HD 222958 = Boss 32974. Curtis (209, 216) could find no trace"
212,of nebulosity.
213,IC 5366. Disc. Barnard. R. Not identified.
214,"The nebula surrounding the two stars +66 1676 = HD 224992, and"
214,+66 1679 = HD 225216 = Boss 39. R. Erroneously identified as NGC 7822
214,by Roberts in (624). (630 Pl 20).
215,NGC 7822 = GC 5051 = h 2302. R. The coordinates and the description given
215,by John Herschel must refer to the nebulous cluster containing the HD
215,"stars: +68 1423 = HD 225123, and +67 1588 = HD 224825."
215,"Compare (630) Pl 20. (114, 304, 631)."
