Note,ID, ,hr,min,deg,min,Con.,Type,2000,Uran,VPSA,V-mag,arc-min,Brightness,C1,MDM,Comments
 ,NGC 3193, ,10,18.5,21,54,Leo,E0,6,144,139,12,0.9x0.9,20.4,1.5,85, 
 ,NGC 3198, ,10,19.8,45,34,UMa,Sc,6,72,50,11,9.0x3.0,23.2,0.4,26, 
 ,NGC 3228, ,10,21.7,-51,44,Vel,OpCl,25,426,374,6.5,20x20,21.6,1,4, 
 ,NGC 3242, ,10,24.8,-18,38,Hya,Plan,13,325,283,8.9,0.7x0.7,16.8,3,110, 
 ,I.2574, ,10,28.7,68,28,UMa,Irr,2,24,15,13,9.0x4.0,25.5,-0.5,19,member of M81 group
 ,NGC 3256, ,10,27.8,-43,53,Vel,Pec,20,399,348,12.1,2.0x1.5,21.9,0.9,51, 
 ,NGC 3293, ,10,33.4,-58,13,Car,OpCl,25,427,395,5,8x8,18.1,2.4,10,50 stars mag 6 to 13
 ,NGC 3310, ,10,38.8,53,30,UMa,Irr,2,46,50,11,3.0x2.0,21.6,1.1,38, 
 ,NGC 3319, ,10,39.3,41,40,UMa,SBc,6,72,76,11.8,6.0x2.8,23.5,0.3,27, 
 ,NGC 3344, ,10,43.4,24,55,LMi,Sc,6,145,106,11,6.0x5.1,23.3,0.4,15, 
 ,NGC 3351,M95,10,43.9,11,42,Leo,SBb,13,190,176,11,4.0x3.0,22.3,0.8,26,"M95, theta shape"
!!!!,NGC 3372, ,10,45.0,-59,41,Car,Neb,25,427,396,?,85x80,?, , ,Eta Carinae Nebula
 ,NGC 3359, ,10,46.7,63,14,UMa,SBc,2,24,30,11,6.0x3.0,22.8,0.6,26, 
*,NGC 3368,M96,10,46.8,11,49,Leo,Sb,13,190,176,10.2,6.0x4.0,22.3,0.8,19,M96
*,NGC 3379,M105,10,47.8,12,35,Leo,E1,13,190,176,10.6,2.1x2.0,20.8,1.4,38,M105
*,NGC 3384, ,10,48.3,12,38,Leo,E7,13,190,176,11,4.0x2.0,21.9,0.9,38,group with M105
*,NGC 3389, ,10,48.4,12,32,Leo,Sc,13,190,176,12.2,2.2x1.0,21.7,1,77,group with M105
 ,NGC 3395, ,10,49.9,32,59,LMi,Sc,6,105,106,12.4,1.4x0.8,21.2,1.2,96, 
 ,NGC 3396, ,10,50.0,33,0,LMi,Irr,6,105,106,12.8,1.0x0.5,20.7,1.4,154,pair with NGC 3395
 ,NGC 3423, ,10,51.3,5,51,Sex,Sc,13,190,176,11.7,3.5x3.0,22.9,0.5,26, 
 ,NGC 3486, ,11,0.5,28,59,LMi,Sc,6,106,106,11.2,5.5x4.2,23.2,0.4,18, 
 ,NGC 3504, ,11,3.2,27,59,LMi,Sb,6,146,106,11.6,2.0x1.8,21.6,1.1,43, 
 ,NGC 3511, ,11,3.2,-23,6,Crt,Sc,20,326,284,11.9,4.2x1.5,22.5,0.7,51, 
 ,NGC 3513, ,11,3.5,-23,14,Crt,SBc,20,326,284,12,2.0x1.6,21.9,0.9,48, 
 ,NGC 3521, ,11,5.8,0,2,Leo,Sb,13,236,212,10.2,6.0x4.0,22.3,0.8,19, 
 ,NGC 3532, ,11,5.5,-58,40,Car,OpCl,25,427,396,7,60x60,24.5,-0.1,1,150 stars mag 8 to 12
*,NGC 3556,M108,11,11.6,55,41,UMa,Sc,2,46,30,10.8,7.8x1.4,22,0.9,55,"M108, near M97"
*,NGC 3587,M97,11,14.9,55,2,UMa,Plan,2,46,30,11,2.5x2.5,21.6,1.1,31,"M97, Owl Nebula"
 ,NGC 3610, ,11,18.5,58,48,UMa,E4,2,46,30,11.6,1.4x0.9,20.5,1.5,85, 
 ,NGC 3613, ,11,18.6,58,1,UMa,E5,2,46,30,11.7,1.7x0.8,20.7,1.4,96, 
 ,NGC 3621, ,11,18.3,-32,48,Hya,Sc,20,367,319,11.8,3.5x1.4,22.2,0.8,55, 
!*,NGC 3623,M65,11,18.9,13,7,Leo,Sa,13,191,176,10.3,7.8x1.6,21.7,1,48,M65
!*,NGC 3627,M66,11,20.2,13,1,Leo,Sb,13,191,176,9.7,8.0x2.5,21.6,1.1,31,M66
*,NGC 3628, ,11,20.3,13,37,Leo,Sb,13,191,176,10.3,12.0x2.0,22.4,0.7,38,"near M65, M66"
 ,NGC 3631, ,11,21.1,53,12,UMa,Sc,2,46,51,11.5,4.5x4.0,23.3,0.4,19, 
 ,NGC 3672, ,11,25.0,-9,48,Crt,Sb,13,281,249,11.8,3.5x1.4,22.2,0.8,55, 
 ,NGC 3675, ,11,26.2,43,36,UMa,Sb,6,73,77,11.4,3.5x1.3,21.7,1,59, 
 ,NGC 3718, ,11,32.7,53,4,UMa,SBa,2,47,51,11.8,3.0x3.0,22.8,0.6,26, 
 ,NGC 3726, ,11,33.4,47,2,UMa,Sc,6,73,51,11.3,5.0x3.4,23,0.5,23, 
 ,NGC 3887, ,11,47.1,-16,52,Crt,Sc,13,282,285,11.6,2.8x2.0,22.1,0.9,38, 
 ,NGC 3893, ,11,48.7,48,43,UMa,Sc,6,74,51,11,3.9x2.5,22.1,0.9,31, 
 ,NGC 3918, ,11,50.3,-57,11,Cen,Plan,25,428,396,8,0.17x0.1,7 12.8,4.6,452, 
*,NGC 3992,M109,11,57.6,53,22,UMa,SBb,2,47,51,10.9,6.4x3.5,22.9,0.5,22,M109
 ,NGC 3998, ,11,57.9,55,27,UMa,E2,2,47,30,11.6,1.6x1.2,20.9,1.3,64, 
 ,NGC 4026, ,11,59.5,50,57,UMa,E8,2,47,51,11.9,3.3x0.7,21.4,1.1,110, 
 ,NGC 4027, ,11,59.6,-19,16,Crv,Pec,13,327,285,11.6,2.0x1.7,21.6,1.1,45,near NGC 4038
 ,NGC 4030, ,12,0.4,-1,6,Vir,Sb,13,238,213,11.2,3.3x2.4,22.1,0.9,32, 
 ,NGC 4036, ,12,1.5,61,53,UMa,E6,2,25,30,11.6,3.0x1.0,21.4,1.1,77,near NGC 4041
!*,NGC 4038, ,12,1.9,-18,52,Crv,Pec,13,328,285,11,2.5x2.5,21.6,1.1,31,Ringtail Galaxy
!*,NGC 4039, ,12,1.9,-18,53,Crv,Pec,13,328,285,12,2.5x2.0,22.4,0.7,38,Ringtail Galaxy
 ,NGC 4041, ,12,2.3,62,8,UMa,Sc,2,25,30,11.7,2.2x1.9,21.9,0.9,40,16' from NGC 4036
 ,NGC 4051, ,12,3.2,44,31,UMa,Sb,7,74,78,11.2,4.2x3.0,22.6,0.7,26, 
 ,NGC 4085, ,12,5.3,50,21,UMa,Sb,2,47,52,12.8,2.2x0.5,21.5,1.1,154,11' from NGC 4088
 ,NGC 4088, ,12,5.5,50,32,UMa,Sb,2,47,52,11.1,4.7x1.5,21.8,1,51,near NGC 4085
 ,NGC 4096, ,12,6.0,47,28,UMa,Sc,7,74,52,11.5,5.8x1.0,22,0.9,77, 
 ,NGC 4100, ,12,6.1,49,34,UMa,Sb,7,74,52,11.9,4.5x1.1,22.3,0.8,70, 
 ,NGC 4105, ,12,6.7,-29,47,Hya,E3,21,368,320,12,1.5x1.5,21.5,1.1,51,interacting with NGC 4106
 ,NGC 4106, ,12,6.8,-29,48,Hya,E2,21,368,320,12.5,1.0x1.8,21.8,1,77,interacting with NGC 4105
 ,NGC 4111, ,12,7.0,43,4,CVn,E7,7,74,78,11.6,3.4x0.8,21.3,1.2,96,lenticular shape
 ,NGC 4116, ,12,7.7,2,41,Vir,SBc,13,238,214,12.3,3.3x1.4,22.6,0.7,55,near NGC 4123
 ,NGC 4123, ,12,8.2,2,52,Vir,SBb,13,238,214,12,3.5x2.4,22.9,0.5,32,near NGC 4116
 ,NGC 4147, ,12,10.1,18,32,Com,Glob,13,148,142,11,4x4,22.6,0.6,19, 
 ,NGC 4192,M98,12,13.8,14,54,Com,Sb,13,193,142,11,8.2x2.0,22.7,0.6,38,M98
 ,NGC 4214, ,12,15.6,36,19,CVn,Irr,7,107,78,10.5,7.0x4.5,22.9,0.6,17, 
 ,NGC 4216, ,12,15.9,13,8,Vir,Sb,13,193,178,10.9,7.2x1.0,21.7,1,77, 
 ,NGC 4236, ,12,16.7,69,28,Dra,SB,2,25,16,10.7,22x5,24.4,-0.1,15, 
 ,NGC 4244, ,12,17.5,37,48,CVn,Sb,7,107,78,10.7,13.0x1.0,22.1,0.9,77,edge-on spiral
 ,NGC 4251, ,12,18.2,28,10,Com,Sa,7,107,108,11.3,2.0x0.8,20.4,1.5,96, 
*,NGC 4254,M99,12,18.8,14,25,Com,Sc,13,193,178,10.4,4.5x4.0,22.2,0.8,19,M99
*,NGC 4258,M106,12,19.0,47,18,CVn,Sb,7,74,52,9,19.5x6.5,22.9,0.5,12,M106
 ,NGC 4260, ,12,19.4,6,6,Vir,SBc,13,193,178,12.7,2.3x0.9,22.1,0.9,85, 
 ,NGC 4261, ,12,19.4,5,49,Vir,E2,13,193,178,11.7,2.0x1.7,21.7,1,45,near NGC 4260
 ,NGC 4273, ,12,20.0,5,20,Vir,Sc,13,238,178,12.3,1.7x1.2,21.7,1,64, 
 ,NGC 4274, ,12,18.8,29,36,Com,Sb,7,107,108,11.5,5.0x1.2,22.1,0.9,64, 
 ,NGC 4281, ,12,20.4,5,23,Vir,E5,13,238,178,12.2,1.5x0.8,21,1.3,96,"near NGC 4270, 4273"
 ,NGC 4293, ,12,21.2,18,23,Com,Sa,13,148,142,11.7,4.8x1.8,22.7,0.6,43,heavy dust lanes
 ,NGC 4294, ,12,21.2,11,30,Vir,SBc,13,193,178,12.6,2.4x0.9,22.1,0.9,85,near NGC 4299
 ,NGC 4298, ,12,21.5,14,36,Com,Sc,13,193,178,11.9,2.7x1.1,21.7,1,70,near NGC 4307
 ,NGC 4299, ,12,21.7,11,30,Vir,SBc,13,193,178,12.9,1.1x0.9,21.5,1.1,85,near NGC 4294
 ,NGC 4302, ,12,21.7,14,36,Com,Sc,13,193,178,12.9,4.5x0.5,22.4,0.7,154,"edge-on, with dust lane"
 ,NGC 4303,M61,12,22.0,4,28,Vir,Sc,13,238,214,10.2,5.7x5.5,22.6,0.7,14,M61
*,NGC 4321,M100,12,22.9,15,49,Com,Sc,13,193,142,10.4,5.2x5.0,22.6,0.7,15,M100
 ,M40,M40,12,22.4,58,5,UMa,star,2,47,31,9,-, , , ,"M40: 2 stars separated by 49"""
 ,NGC 4340, ,12,23.5,16,43,Com,SBa,13,193,142,13,2.2x1.4,22.8,0.6,55,theta shape
 ,NGC 4349, ,12,24.2,-61,54,Cru,OpCl,25,450,397,10,15x15,24.5,-0.1,5,100 stars mag 12-14
 ,NGC 4350, ,12,23.9,16,41,Com,E7,13,193,142,11.9,1.9x0.5,20.5,1.5,154,lenticular shape
 ,NGC 4361, ,12,24.5,-18,46,Crv,Plan,13,328,286,10.5,1.3x1.3,19.7,1.8,59,central star mag 13
 ,NGC 4365, ,12,24.5,7,19,Vir,E2,13,193,178,11,2.0x1.3,20.7,1.4,59, 
*,NGC 4374,M84,12,25.1,12,53,Vir,E1,13,193,178,10.5,2.0x1.8,20.5,1.5,43,M84
 ,NGC 4382,M85,12,25.3,18,11,Com,S0,13,148,142,10.5,3.0x2.0,21.1,1.3,38,M85
 ,NGC 4372, ,12,25.9,-72,41,Mus,Glob,25,466,413,8,18x18,22.9,0.5,4, 
*,NGC 4387, ,12,25.7,12,49,Vir,E5,13,193,178,12,1.9x1.1,21.4,1.1,70, 
*,NGC 4388, ,12,25.8,12,39,Vir,SBc,13,193,178,12,5.0x1.0,22.4,0.7,77,near M84
 ,NGC 4394, ,12,25.9,18,12,Com,SBb,13,148,142,12,3.0x3.0,23,0.5,26,near M85
 ,NGC 4395, ,12,25.9,33,32,CVn,S,7,108,108,11,10.0x8.0,24.4,-0.1,10,3-branch spiral
*,NGC 4402, ,12,26.1,13,7,Vir,Sb,13,193,178,13,2.0x0.8,22.1,0.8,96,near M86
*,NGC 4406,M86,12,26.2,12,56,Vir,E3,13,193,178,10.5,3.0x2.8,21.4,1.1,27,M86
*,NGC 4413, ,12,26.5,12,36,Vir,SBa,13,193,178,13.2,1.1x0.7,21.5,1.1,110,near NGC 4388
 ,NGC 4414, ,12,26.5,31,13,Com,Sc,7,108,108,11,3.1x1.5,21.3,1.2,51, 
 ,NGC 4417, ,12,26.8,9,35,Vir,E7,13,193,178,12.2,2.2x0.8,21.4,1.1,96,near NGC 4424
 ,NGC 4424, ,12,27.1,9,25,Vir,SBa,13,193,178,12.5,2.5x1.3,22.4,0.7,59,near NGC 4417
*,NGC 4425, ,12,27.2,12,44,Vir,S0,13,193,178,12.9,2.0x0.5,21.5,1.1,154,near M86
*,NGC 4435, ,12,27.7,13,4,Vir,E4,13,193,178,11.8,1.4x0.9,20.7,1.4,85,near NGC 4438
*,NGC 4438, ,12,27.8,13,0,Vir,Sa,13,193,178,11,4.0x1.5,21.6,1.1,51,near NGC 4435
 ,NGC 4448, ,12,28.3,28,37,Com,Sb,7,108,108,11.7,2.9x1.0,21.5,1.1,77, 
*,NGC 4449, ,12,28.2,44,5,CVn,Irr,7,75,78,10.5,4.2x3.0,21.9,0.9,26,rectangular shape
 ,NGC 4450, ,12,28.4,17,4,Com,Sb,13,148,142,11.1,3.8x3.0,22.4,0.8,26, 
*,NGC 4458, ,12,29.0,13,15,Vir,E0,13,193,178,12,1.9x1.8,22,0.9,43, 
*,NGC 4459, ,12,29.0,13,58,Com,S0,13,193,178,11.7,1.5x1.0,20.8,1.4,77,dust lane near nucleus
 ,3C273, ,12,29.2,2,2,Vir,QSO,13,238,214,12.8,stellar,-, , ,brightest quasar
*,NGC 4461, ,12,29.1,13,11,Vir,S0,13,193,178,12.2,2.0x1.0,21.6,1.1,77, 
 ,NGC 4472,M49,12,29.8,7,59,Vir,E3,13,193,178,10.1,4.0x3.4,21.6,1.1,23,M49
*,NGC 4473, ,12,29.8,13,25,Vir,E4,13,193,178,11.3,2.0x1.0,20.7,1.4,77, 
*,NGC 4476, ,12,30.0,12,20,Vir,E4,14,193,178,13.3,0.7x0.4,20.5,1.5,192,near M87
*,NGC 4477, ,12,30.0,13,38,Com,SBa,14,193,178,10.4,4.0x3.5,21.9,0.9,22, 
*,NGC 4478, ,12,30.3,12,19,Vir,E1,14,193,178,12.4,1.0x1.8,21.7,1,77,near M87
*,NGC 4479, ,12,30.3,13,35,Com,Sb,14,193,178,12.5,1.5x1.5,22,0.9,51, 
 ,NGC 4485, ,12,30.6,41,41,CVn,E,7,75,78,12.5,1.3x0.7,21,1.3,110,near NGC 4490
!*,NGC 4486,M87,12,30.8,12,23,Vir,E1,14,193,178,8.6,3.0x3.0,19.6,1.9,26,M87
 ,NGC 4490, ,12,30.7,41,38,CVn,Sc,7,75,78,10.1,5.0x2.0,21.2,1.2,38,Cocoon Galaxy
 ,NGC 4494, ,12,31.4,25,46,Com,E1,7,148,108,10.9,1.4x1.4,20.3,1.6,55, 
 ,NGC 4501,M88,12,32.0,14,25,Com,Sb,14,194,178,10.5,5.7x2.5,22,0.9,31,M88
 ,NGC 4517, ,12,32.8,0,6,Vir,Sc,14,239,214,11.4,9.0x1.0,22.4,0.7,77,equatorial dust lane
 ,NGC 4526, ,12,34.1,7,41,Vir,E7,14,194,178,10.7,4.0x1.0,20.8,1.4,77, 
 ,NGC 4527, ,12,34.2,2,39,Vir,Sb,14,239,214,11.3,5.1x1.1,21.8,1,70, 
 ,NGC 4535, ,12,34.3,8,11,Vir,SBc,14,194,178,10.7,6.0x4.0,22.8,0.6,19, 
 ,NGC 4536, ,12,34.5,2,11,Vir,Sc,14,239,214,11,7.0x2.0,22.5,0.7,38, 
 ,I.3568, ,12,33.7,82,34,Cam,Plan,2,9,6,11.6,0.60x0.6,0 19.1,2.1,128, 
 ,NGC 4548,M91,12,35.4,14,29,Com,SBb,14,194,178,10.9,3.9x3.4,22.3,0.8,23,M91
 ,NGC 4552,M89,12,35.6,12,33,Vir,E0,14,194,178,11,2.0x2.0,21.1,1.2,38,M89
 ,NGC 4559, ,12,36.0,27,57,Com,Sc,7,149,108,10.5,10.0x3.0,22.8,0.6,26, 
 ,NGC 4564, ,12,36.4,11,26,Vir,E6,14,194,178,11.1,3.1x1.4,21.3,1.2,55,"near NGC 4567, 4568"
!!!*,NGC 4565, ,12,36.4,25,59,Com,Sb,7,149,108,10.5,15.0x1.1,22.2,0.8,70,famous edge-on spiral
!,NGC 4567, ,12,36.5,11,15,Vir,Sb,14,194,178,12,2.4x1.6,22.1,0.9,48,the Siamese Twins
 ,NGC 4568, ,12,36.6,11,14,Vir,Sb,14,194,178,11.9,3.6x1.8,22.6,0.7,43,near NGC 4567
*,NGC 4569,M90,12,36.8,13,9,Vir,Sb,14,194,178,9,7.0x2.5,20.7,1.4,31,M90
 ,NGC 4579,M58,12,37.6,11,48,Vir,Sb,14,194,178,10.5,4.0x3.5,22,0.9,22,M58
 ,H7, ,12,39.7,-60,36,Cru,OpCl,25,429,397,10,8x8,23.1,0.4,10,about 200 stars
 ,NGC 4590,M68,12,39.5,-26,45,Hya,Glob,21,329,320,8,9x9,21.4,1.1,9,M68
!!*,NGC 4594,M104,12,39.9,-11,37,Vir,Sa,14,284,250,8.2,7.0x1.5,19.4,1.9,51,"M104, the Sombrero Galaxy"
 ,NGC 4605, ,12,40.0,61,37,UMa,Sc,2,26,31,10.9,4.0x1.2,21.2,1.2,64, 
 ,NGC 4618, ,12,41.6,41,9,CVn,Sc,7,75,78,11.2,3.0x2.5,22,0.9,31,ringtail shape
 ,NGC 4621,M59,12,42.0,11,39,Vir,E3,14,194,178,11,2.0x1.5,20.8,1.4,51,M59
 ,NGC 4631, ,12,42.2,32,33,CVn,Sc,7,108,108,9.7,12.5x1.2,21.3,1.2,64,edge-on spiral
 ,NGC 4638, ,12,42.7,11,27,Vir,E5,14,194,179,12.2,1.1x0.5,20.2,1.6,154,near M59 & M60
 ,NGC 4636, ,12,42.9,2,41,Vir,E1,14,239,215,11,7.0x2.0,22.5,0.7,38, 
 ,NGC 4639, ,12,42.8,13,15,Vir,SBb,14,194,179,12.2,2.0x1.3,21.9,1,59, 
 ,NGC 4643, ,12,43.4,1,59,Vir,SBa,14,239,215,11.6,1.7x0.8,20.6,1.5,96, 
 ,NGC 4647, ,12,43.5,11,35,Vir,Sc,14,194,179,12,2.3x1.8,22.2,0.8,43,near M60
 ,NGC 4649,M60,12,43.6,11,33,Vir,E1,14,194,179,10,3.0x2.5,20.8,1.4,31,M60
 ,NGC 4651, ,12,43.7,16,24,Com,Sc,14,194,143,11.4,3.0x2.5,22.2,0.8,31, 
 ,NGC 4654, ,12,43.9,13,7,Vir,Sc,14,194,179,11.2,4.5x2.5,22.5,0.7,31,near NGC 4639
!,NGC 4656, ,12,44.0,32,10,CVn,Irr,7,108,108,11,19.5x2.0,23.6,0.3,38,stretched S shape
 ,NGC 4660, ,12,44.5,11,10,Vir,E5,14,194,179,12.2,1.3x0.6,20.6,1.5,128,near M60
 ,NGC 4666, ,12,45.2,0,28,Vir,Sc,14,239,215,11.4,3.9x0.7,21.1,1.3,110,near NGC 4668
 ,NGC 4668, ,12,45.6,0,33,Vir,SBc,14,239,215,13.4,0.8x0.6,21.2,1.2,128,near NGC 4666
 ,NGC 4689, ,12,47.7,13,45,Com,Sb,14,194,179,11.7,2.8x2.0,22.2,0.8,38, 
 ,NGC 4697, ,12,48.6,-5,48,Vir,E5,14,284,251,10.5,2.5x1.3,20.4,1.5,59, 
 ,NGC 4699, ,12,49.1,-8,40,Vir,Sa,14,284,251,10.3,3.0x2.0,20.9,1.4,38, 
 ,NGC 4710, ,12,49.6,15,10,Com,S0,14,194,143,12,3.4x0.5,21.2,1.2,154,"edge-on, dust lane"
 ,NGC 4725, ,12,50.5,25,30,Com,SBb,7,149,109,10.5,7.5x4.8,23,0.5,16, 
*,NGC 4736,M94,12,51.0,41,7,CVn,Sb,7,75,78,8.9,5.0x3.5,20.6,1.4,22,M94
 ,NGC 4742, ,12,51.8,-10,28,Vir,E3,14,284,251,12,1.0x0.6,20.1,1.7,128,"near NGC 4760, 4781"
 ,NGC 4747, ,12,51.8,25,45,Com,Pec,7,149,109,12.8,3.0x0.5,21.9,1,154,distorted
 ,NGC 4754, ,12,52.2,11,19,Vir,S0,14,194,179,11.8,2.5x1.0,21.4,1.1,77,near NGC 4762
 ,NGC 4753, ,12,52.4,-1,11,Vir,Irr,14,239,215,10.6,2.8x2.0,21.1,1.3,38, 
 ,Coalsack, ,12,53.0,-63,0,Cru,DNeb,25,451,397,-,400x300,-,-, ,next to Southern Cross
 ,NGC 4762, ,12,52.9,11,15,Vir,S0,14,194,179,11.5,3.7x0.4,20.6,1.5,192,near NGC 4754
 ,NGC 4760, ,12,53.1,-10,29,Vir,E1,14,284,251,12.5,0.6x0.5,19.8,1.8,154,"near NGC 4742, 4781"
!!,NGC 4755, ,12,53.6,-60,21,Cru,OpCl,25,429,397,4.2,10x10,17.8,2.6,8,the Jewel Box
 ,NGC 4781, ,12,54.4,-10,32,Vir,SBc,14,284,251,11.7,2.6x1.1,21.5,1.1,70,"near NGC 4742, 4760"
 ,NGC 4782, ,12,54.6,-12,35,Crv,E0,14,284,251,12.9,0.5x0.5,20,1.7,154,touching NGC 4783
 ,NGC 4783, ,12,54.6,-12,34,Crv,E0,14,284,251,12.9,0.5x0.5,20,1.7,154,touching NGC 4782
 ,NGC 4790, ,12,54.8,-10,14,Vir,SBc,14,284,251,12.5,1.4x1.0,21.5,1.1,77,near NGC 4781
!*,NGC 4826,M64,12,56.8,21,41,Com,Sa,7,149,143,8.6,7.5x3.5,20.8,1.4,22,"M64, the Black Eye Galaxy"
 ,NGC 4845, ,12,58.1,1,35,Vir,Sa,14,239,215,12.6,4.0x0.8,22.5,0.7,96,equatorial dust lane
 ,NGC 4833, ,12,59.3,-70,52,Mus,Glob,25,451,413,8.5,6x6,21,1.3,13, 
 ,NGC 4856, ,12,59.3,-15,2,Vir,SBa,14,284,251,11.4,2.5x0.7,20.6,1.4,110,theta shape
 ,NGC 4874, ,12,59.6,27,58,Com,S0,7,149,109,13.5,1.0x1.0,22.1,0.8,77,near NGC 4889
 ,NGC 4889, ,13,0.1,27,59,Com,E4,7,149,109,13.2,1.0x0.6,21.3,1.2,128,center of Coma Cluster of Galaxies
 ,NGC 4902, ,13,0.9,-14,31,Vir,SBb,14,284,251,11.6,2.0x2.0,21.7,1,38, 
 ,NGC 4945, ,13,5.3,-49,29,Cen,Sc,21,402,377,?,?,?, , , 
 ,NGC 5005, ,13,10.8,37,3,CVn,Sb,7,109,79,10.8,4.7x1.6,21.6,1.1,48, 
 ,NGC 5024,M53,13,12.9,18,10,Com,Glob,14,150,143,8,10x10,21.6,1,8,M53
 ,NGC 5033, ,13,13.5,36,35,CVn,Sb,7,109,79,11,8.0x4.0,23.4,0.3,19, 
*,NGC 5055,M63,13,15.7,42,1,CVn,Sb,7,76,79,9.8,9.0x4.0,22.3,0.8,19,M63
 ,NGC 5053, ,13,16.3,17,41,Com,Glob,14,150,143,10.5,8x8,23.6,0.2,10,near M53
 ,NGC 5102, ,13,21.9,-36,39,Cen,S0,21,370,351,10.8,6.0x2.5,22.4,0.8,31, 
!!!*,NGC 5128, ,13,25.3,-43,1,Cen,S0,21,403,351,7.2,10x8,20.6,1.5,10,"peculiar, with dark lane"
!!!!*,NGC 5139, ,13,26.8,-47,29,Cen,Glob,21,403,377,3.6,30x30,19.6,1.9,3,Omega Centauri: spectacular globular
!!!*,NGC 5194,M51,13,29.9,47,12,CVn,Sc,7,76,53,8.1,10.0x5.5,21.1,1.3,14,M51
*,NGC 5195, ,13,30.0,47,16,CVn,Pec,7,76,53,11,2.0x1.5,20.8,1.4,51,companion to NGC 5194
 ,NGC 5189, ,13,33.4,-65,58,Mus,Neb,25,451,413,?,185x130,?, , , 
!!*,NGC 5236,M83,13,37.1,-29,52,Hya,Sc,21,370,322,8,10.0x8.0,21.4,1.1,10,M83
 ,NGC 5248, ,13,37.6,8,53,Boo,Sc,14,196,180,11,3.2x1.4,21.3,1.2,55, 
 ,NGC 5253, ,13,39.9,-31,39,Cen,E,21,370,322,10.8,4.0x1.5,21.4,1.2,51, 
!,NGC 5272,M3,13,42.2,28,23,CVn,Glob,7,110,110,6,18x18,20.9,1.3,4,M3
 ,NGC 5322, ,13,49.3,60,11,UMa,E2,2,49,32,11.3,1.4x1.0,20.3,1.6,77, 
 ,NGC 5350, ,13,53.4,40,22,CVn,Sb,7,76,80,11.4,3.2x1.4,21.7,1,55,near NGC 5353
 ,NGC 5353, ,13,53.4,40,16,CVn,E5,7,76,80,12.3,1.1x0.4,20,1.7,192,near NGC 5354
 ,NGC 5354, ,13,53.4,40,17,CVn,E3,7,76,80,13,0.9x0.7,21.1,1.2,110,near NGC 5353
 ,NGC 5363, ,13,56.1,5,14,Vir,Irr,14,241,180,11.1,1.7x1.5,20.7,1.4,51,near NGC 5364
 ,NGC 5371, ,13,55.7,40,28,CVn,Sb,7,76,80,11.5,3.7x3.0,22.7,0.6,26, 
 ,NGC 5364, ,13,56.2,5,0,Vir,Sb,14,241,180,11.5,5.0x4.0,23.4,0.3,19,near NGC 5363
 ,NGC 5377, ,13,56.3,47,12,CVn,Sa,7,76,53,12,3.0x0.6,21.3,1.2,128,outer ring
 ,NGC 5367, ,13,57.7,-39,59,Cen,Neb,21,403,352,10,1.3x1.0,18.9,2.1,77,double nucleus
 ,NGC 5383, ,13,57.1,41,50,CVn,SBb,7,76,80,12.7,2.2x2.0,22.9,0.5,38, 
 ,NGC 5394, ,13,58.6,37,25,CVn,Sb,7,110,80,13.5,0.5x0.5,20.6,1.5,154, 
 ,NGC 5395, ,13,58.6,37,24,CVn,Sb,7,110,80,12.7,2.1x1.0,22.1,0.8,77,interacting with NGC 5394?
 ,NGC 5426, ,14,3.4,-6,3,Vir,Sc,14,286,253,12.7,1.5x1.1,21.9,1,70,near NGC 5427
 ,NGC 5427, ,14,3.4,-6,1,Vir,Sc,14,286,253,12,2.0x1.7,22,0.9,45,near NGC 5426
!,NGC 5457,M101,14,3.2,54,21,UMa,Sc,2,49,54,9,22x20,24.2,0,4,M101
 ,NGC 5466, ,14,5.4,28,32,Boo,Glob,7,110,110,9,5x5,21.1,1.3,15, 
 ,NGC 5474, ,14,5.0,53,40,UMa,Irr,2,49,54,11.5,4.0x3.0,22.8,0.6,26, 
 ,NGC 5585, ,14,19.6,56,43,UMa,Sc,2,49,32,11.6,4.5x2.3,22.8,0.6,33, 
 ,NGC 5614, ,14,24.1,34,51,Boo,Sa,7,111,80,12.9,2.1x0.8,22.1,0.9,96, 
 ,NGC 5617, ,14,29.7,-60,43,Cen,OpCl,25,430,398,8,15x15,22.5,0.7,5,50 stars mag 8+
 ,NGC 5643, ,14,32.6,-44,12,Lup,Sb,21,404,352,11.4,2.5x2.3,21.9,0.9,33, 
 ,NGC 5740, ,14,44.4,1,41,Vir,Sb,14,243,218,12.6,2.5x1.5,22.7,0.6,51,near NGC 5746
 ,NGC 5746, ,14,44.8,1,57,Vir,Sb,14,243,218,11.7,6.5x0.8,22.1,0.9,96,near NGC 5740
 ,NGC 5824, ,15,4.0,-33,5,Lup,Glob,21,373,324,9.5,3x3,20.5,1.5,26, 
 ,NGC 5823, ,15,5.6,-55,36,Cir,OpCl,25,431,399,11,9x9,24.4,-0.1,9,80 stars mag 13+
 ,NGC 5846, ,15,6.5,1,36,Vir,E0,14,243,218,11.5,1.0x1.0,20.1,1.6,77,near NGC 5850
 ,NGC 5850, ,15,7.1,1,32,Vir,SBb,14,243,218,12,2.6x2.1,22.5,0.7,37,theta shape
 ,NGC 5866, ,15,6.5,55,45,Dra,E6,2,50,33,11.1,2.9x1.0,20.9,1.3,77,equatorial dust lane
